Semana,Longitud cola,Cola,Arribos,Autos,Atenciones,Atendidos,Despachos,Despachados
14.0,8.0,"['T96P', 'P17M', 'P27S', 'C76P', 'N11O', 'V8P', 'R49A', 'T61P']",6.0,"['V20K', 'L77V', 'Z60P', 'J75V', 'Q76O', 'H49F']",6.0,"['T96P', 'P17M', 'P27S', 'C76P', 'N11O', 'V8P']",2.0,"['R49A', 'T61P']"
15.0,6.0,"['V20K', 'L77V', 'Z60P', 'J75V', 'Q76O', 'H49F']",5.0,"['M54S', 'T36E', 'N95U', 'C6S', 'D38X']",5.0,"['V20K', 'L77V', 'Z60P', 'J75V', 'Q76O']",1.0,['H49F']
16.0,5.0,"['M54S', 'T36E', 'N95U', 'C6S', 'D38X']",7.0,"['O17J', 'N25U', 'E68H', 'J14U', 'H23U', 'B51C', 'A29T']",4.0,"['M54S', 'T36E', 'N95U', 'C6S']",1.0,['D38X']
17.0,7.0,"['O17J', 'N25U', 'E68H', 'J14U', 'H23U', 'B51C', 'A29T']",9.0,"['C66Y', 'F38C', 'Y66U', 'O98O', 'Q75M', 'N39T', 'E1I', 'Q50F', 'Y64S']",4.0,"['O17J', 'N25U', 'E68H', 'J14U']",3.0,"['H23U', 'B51C', 'A29T']"
18.0,9.0,"['C66Y', 'F38C', 'Y66U', 'O98O', 'Q75M', 'N39T', 'E1I', 'Q50F', 'Y64S']",7.0,"['G85K', 'S66T', 'V37V', 'V81R', 'F3D', 'Z18U', 'M52T']",4.0,"['C66Y', 'F38C', 'Y66U', 'O98O']",5.0,"['Q75M', 'N39T', 'E1I', 'Q50F', 'Y64S']"
19.0,7.0,"['G85K', 'S66T', 'V37V', 'V81R', 'F3D', 'Z18U', 'M52T']",9.0,"['S74V', 'J97B', 'H15S', 'V28C', 'U22G', 'L77E', 'H84L', 'W87R', 'V92M']",5.0,"['G85K', 'S66T', 'V37V', 'V81R', 'F3D']",2.0,"['Z18U', 'M52T']"
20.0,9.0,"['S74V', 'J97B', 'H15S', 'V28C', 'U22G', 'L77E', 'H84L', 'W87R', 'V92M']",7.0,"['B56E', 'J8R', 'B30Q', 'R36M', 'H41B', 'N43S', 'Q91G']",5.0,"['S74V', 'J97B', 'H15S', 'V28C', 'U22G']",4.0,"['L77E', 'H84L', 'W87R', 'V92M']"
21.0,7.0,"['B56E', 'J8R', 'B30Q', 'R36M', 'H41B', 'N43S', 'Q91G']",6.0,"['I70L', 'Y92L', 'M81P', 'R70Z', 'D55Z', 'R60D']",5.0,"['B56E', 'J8R', 'B30Q', 'R36M', 'H41B']",2.0,"['N43S', 'Q91G']"
22.0,6.0,"['I70L', 'Y92L', 'M81P', 'R70Z', 'D55Z', 'R60D']",8.0,"['P80I', 'J69L', 'I69X', 'N54X', 'L84X', 'N23J', 'H54O', 'H94J']",5.0,"['I70L', 'Y92L', 'M81P', 'R70Z', 'D55Z']",1.0,['R60D']
23.0,8.0,"['P80I', 'J69L', 'I69X', 'N54X', 'L84X', 'N23J', 'H54O', 'H94J']",6.0,"['N85S', 'F7K', 'X42V', 'X44Z', 'D14B', 'J69Z']",6.0,"['P80I', 'J69L', 'I69X', 'N54X', 'L84X', 'N23J']",2.0,"['H54O', 'H94J']"
24.0,6.0,"['N85S', 'F7K', 'X42V', 'X44Z', 'D14B', 'J69Z']",9.0,"['Q17W', 'S66I', 'K32V', 'W69V', 'N66G', 'R79C', 'C96N', 'O48W', 'Z64E']",6.0,"['N85S', 'F7K', 'X42V', 'X44Z', 'D14B', 'J69Z']",0.0,[]
25.0,9.0,"['Q17W', 'S66I', 'K32V', 'W69V', 'N66G', 'R79C', 'C96N', 'O48W', 'Z64E']",6.0,"['X67W', 'Z54S', 'H18V', 'G89H', 'G33C', 'N52T']",3.0,"['Q17W', 'S66I', 'K32V']",6.0,"['W69V', 'N66G', 'R79C', 'C96N', 'O48W', 'Z64E']"
26.0,6.0,"['X67W', 'Z54S', 'H18V', 'G89H', 'G33C', 'N52T']",7.0,"['U88C', 'H79W', 'X42R', 'Q51G', 'X9U', 'E5C', 'W73H']",4.0,"['X67W', 'Z54S', 'H18V', 'G89H']",2.0,"['G33C', 'N52T']"
27.0,7.0,"['U88C', 'H79W', 'X42R', 'Q51G', 'X9U', 'E5C', 'W73H']",9.0,"['Q21K', 'K60J', 'W24V', 'W12J', 'D60I', 'Y7Q', 'S71U', 'L48T', 'Y76P']",3.0,"['U88C', 'H79W', 'X42R']",4.0,"['Q51G', 'X9U', 'E5C', 'W73H']"
28.0,9.0,"['Q21K', 'K60J', 'W24V', 'W12J', 'D60I', 'Y7Q', 'S71U', 'L48T', 'Y76P']",6.0,"['J61L', 'H33T', 'G70A', 'H87H', 'P11H', 'W69P']",3.0,"['Q21K', 'K60J', 'W24V']",6.0,"['W12J', 'D60I', 'Y7Q', 'S71U', 'L48T', 'Y76P']"
29.0,6.0,"['J61L', 'H33T', 'G70A', 'H87H', 'P11H', 'W69P']",7.0,"['B67Q', 'A98A', 'U65F', 'U75E', 'W1S', 'S38Y', 'C50T']",5.0,"['J61L', 'H33T', 'G70A', 'H87H', 'P11H']",1.0,['W69P']
30.0,7.0,"['B67Q', 'A98A', 'U65F', 'U75E', 'W1S', 'S38Y', 'C50T']",6.0,"['O64G', 'M91Z', 'T15G', 'O8I', 'Y54Y', 'P87S']",5.0,"['B67Q', 'A98A', 'U65F', 'U75E', 'W1S']",2.0,"['S38Y', 'C50T']"
31.0,6.0,"['O64G', 'M91Z', 'T15G', 'O8I', 'Y54Y', 'P87S']",8.0,"['Z66G', 'M59S', 'U84T', 'A36U', 'D41X', 'P4F', 'H66X', 'S86Q']",3.0,"['O64G', 'M91Z', 'T15G']",3.0,"['O8I', 'Y54Y', 'P87S']"
32.0,8.0,"['Z66G', 'M59S', 'U84T', 'A36U', 'D41X', 'P4F', 'H66X', 'S86Q']",5.0,"['X97P', 'B58N', 'A12T', 'E82K', 'R37Y']",3.0,"['Z66G', 'M59S', 'U84T']",5.0,"['A36U', 'D41X', 'P4F', 'H66X', 'S86Q']"
33.0,5.0,"['X97P', 'B58N', 'A12T', 'E82K', 'R37Y']",8.0,"['Y81E', 'I58S', 'Y22P', 'P88E', 'C94C', 'J85R', 'Y98Q', 'S43M']",3.0,"['X97P', 'B58N', 'A12T']",2.0,"['E82K', 'R37Y']"
34.0,8.0,"['Y81E', 'I58S', 'Y22P', 'P88E', 'C94C', 'J85R', 'Y98Q', 'S43M']",5.0,"['Z8P', 'D9P', 'Z76S', 'J65W', 'I29W']",4.0,"['Y81E', 'I58S', 'Y22P', 'P88E']",4.0,"['C94C', 'J85R', 'Y98Q', 'S43M']"
35.0,5.0,"['Z8P', 'D9P', 'Z76S', 'J65W', 'I29W']",5.0,"['D20M', 'M15N', 'F79N', 'I45X', 'H9R']",3.0,"['Z8P', 'D9P', 'Z76S']",2.0,"['J65W', 'I29W']"
36.0,5.0,"['D20M', 'M15N', 'F79N', 'I45X', 'H9R']",7.0,"['L67X', 'W37A', 'E38C', 'A53K', 'T1V', 'O44O', 'A86F']",4.0,"['D20M', 'M15N', 'F79N', 'I45X']",1.0,['H9R']
37.0,7.0,"['L67X', 'W37A', 'E38C', 'A53K', 'T1V', 'O44O', 'A86F']",7.0,"['R46B', 'V13M', 'O27V', 'V82O', 'A44E', 'I81L', 'S60Y']",4.0,"['L67X', 'W37A', 'E38C', 'A53K']",3.0,"['T1V', 'O44O', 'A86F']"
38.0,7.0,"['R46B', 'V13M', 'O27V', 'V82O', 'A44E', 'I81L', 'S60Y']",9.0,"['D81U', 'Y44N', 'P19S', 'F65S', 'A7C', 'N90T', 'D88F', 'B67D', 'Q24O']",6.0,"['R46B', 'V13M', 'O27V', 'V82O', 'A44E', 'I81L']",1.0,['S60Y']
39.0,9.0,"['D81U', 'Y44N', 'P19S', 'F65S', 'A7C', 'N90T', 'D88F', 'B67D', 'Q24O']",6.0,"['B5Y', 'U21W', 'P12I', 'T5U', 'W83E', 'E88R']",4.0,"['D81U', 'Y44N', 'P19S', 'F65S']",5.0,"['A7C', 'N90T', 'D88F', 'B67D', 'Q24O']"
40.0,6.0,"['B5Y', 'U21W', 'P12I', 'T5U', 'W83E', 'E88R']",7.0,"['W53F', 'Y42B', 'T6V', 'Y54H', 'G76B', 'T50U', 'T15O']",3.0,"['B5Y', 'U21W', 'P12I']",3.0,"['T5U', 'W83E', 'E88R']"
41.0,7.0,"['W53F', 'Y42B', 'T6V', 'Y54H', 'G76B', 'T50U', 'T15O']",9.0,"['Y76R', 'U56L', 'E73R', 'A21O', 'J93X', 'H6J', 'F96H', 'X91K', 'L71O']",4.0,"['W53F', 'Y42B', 'T6V', 'Y54H']",3.0,"['G76B', 'T50U', 'T15O']"
42.0,9.0,"['Y76R', 'U56L', 'E73R', 'A21O', 'J93X', 'H6J', 'F96H', 'X91K', 'L71O']",8.0,"['H83X', 'C57C', 'U96Q', 'X14C', 'H79W', 'O87D', 'M76V', 'L17J']",6.0,"['Y76R', 'U56L', 'E73R', 'A21O', 'J93X', 'H6J']",3.0,"['F96H', 'X91K', 'L71O']"
43.0,8.0,"['H83X', 'C57C', 'U96Q', 'X14C', 'H79W', 'O87D', 'M76V', 'L17J']",8.0,"['I31H', 'U67Z', 'V22U', 'B3F', 'I42T', 'N44K', 'Q94A', 'A90A']",5.0,"['H83X', 'C57C', 'U96Q', 'X14C', 'H79W']",3.0,"['O87D', 'M76V', 'L17J']"
44.0,8.0,"['I31H', 'U67Z', 'V22U', 'B3F', 'I42T', 'N44K', 'Q94A', 'A90A']",9.0,"['Y32J', 'B4V', 'R64M', 'S56U', 'F2K', 'J64X', 'Z75I', 'C4U', 'I41Z']",3.0,"['I31H', 'U67Z', 'V22U']",5.0,"['B3F', 'I42T', 'N44K', 'Q94A', 'A90A']"
45.0,9.0,"['Y32J', 'B4V', 'R64M', 'S56U', 'F2K', 'J64X', 'Z75I', 'C4U', 'I41Z']",9.0,"['D11M', 'H93E', 'S72Z', 'F2C', 'M15F', 'J100Y', 'G89U', 'X35X', 'B52L']",6.0,"['Y32J', 'B4V', 'R64M', 'S56U', 'F2K', 'J64X']",3.0,"['Z75I', 'C4U', 'I41Z']"
46.0,9.0,"['D11M', 'H93E', 'S72Z', 'F2C', 'M15F', 'J100Y', 'G89U', 'X35X', 'B52L']",9.0,"['G27Z', 'A88P', 'G12C', 'Q77T', 'J66I', 'O55W', 'A51E', 'P84L', 'X97M']",4.0,"['D11M', 'H93E', 'S72Z', 'F2C']",5.0,"['M15F', 'J100Y', 'G89U', 'X35X', 'B52L']"
47.0,9.0,"['G27Z', 'A88P', 'G12C', 'Q77T', 'J66I', 'O55W', 'A51E', 'P84L', 'X97M']",7.0,"['I9T', 'E42J', 'Z79A', 'P29I', 'Y82W', 'T86D', 'K15X']",3.0,"['G27Z', 'A88P', 'G12C']",6.0,"['Q77T', 'J66I', 'O55W', 'A51E', 'P84L', 'X97M']"
48.0,7.0,"['I9T', 'E42J', 'Z79A', 'P29I', 'Y82W', 'T86D', 'K15X']",5.0,"['X79H', 'B87Z', 'W7G', 'E8R', 'F35V']",3.0,"['I9T', 'E42J', 'Z79A']",4.0,"['P29I', 'Y82W', 'T86D', 'K15X']"
49.0,5.0,"['X79H', 'B87Z', 'W7G', 'E8R', 'F35V']",6.0,"['E20N', 'N30U', 'A60Y', 'H47P', 'E9K', 'V33C']",6.0,"['X79H', 'B87Z', 'W7G', 'E8R', 'F35V', 'E20N']",0.0,[]
50.0,5.0,"['N30U', 'A60Y', 'H47P', 'E9K', 'V33C']",6.0,"['S5K', 'K78F', 'Z24R', 'D73P', 'K46C', 'C8E']",6.0,"['N30U', 'A60Y', 'H47P', 'E9K', 'V33C', 'S5K']",0.0,[]
51.0,5.0,"['K78F', 'Z24R', 'D73P', 'K46C', 'C8E']",7.0,"['K2E', 'A91X', 'Y6T', 'H53A', 'X4B', 'L79L', 'U65U']",6.0,"['K78F', 'Z24R', 'D73P', 'K46C', 'C8E', 'K2E']",0.0,[]
52.0,6.0,"['A91X', 'Y6T', 'H53A', 'X4B', 'L79L', 'U65U']",7.0,"['J53J', 'T54D', 'H57Y', 'W43Z', 'L24Z', 'J18F', 'L53I']",4.0,"['A91X', 'Y6T', 'H53A', 'X4B']",2.0,"['L79L', 'U65U']"
53.0,7.0,"['J53J', 'T54D', 'H57Y', 'W43Z', 'L24Z', 'J18F', 'L53I']",7.0,"['Y63B', 'J40U', 'O19T', 'N1W', 'V50G', 'E58S', 'J84X']",4.0,"['J53J', 'T54D', 'H57Y', 'W43Z']",3.0,"['L24Z', 'J18F', 'L53I']"
54.0,7.0,"['Y63B', 'J40U', 'O19T', 'N1W', 'V50G', 'E58S', 'J84X']",7.0,"['L49J', 'Z92R', 'S66B', 'B51Z', 'B7W', 'A42O', 'X88Y']",5.0,"['Y63B', 'J40U', 'O19T', 'N1W', 'V50G']",2.0,"['E58S', 'J84X']"
55.0,7.0,"['L49J', 'Z92R', 'S66B', 'B51Z', 'B7W', 'A42O', 'X88Y']",7.0,"['J56J', 'E68C', 'A92Z', 'X48N', 'T7K', 'J71F', 'X27B']",4.0,"['L49J', 'Z92R', 'S66B', 'B51Z']",3.0,"['B7W', 'A42O', 'X88Y']"
56.0,7.0,"['J56J', 'E68C', 'A92Z', 'X48N', 'T7K', 'J71F', 'X27B']",7.0,"['L67O', 'D40D', 'P64E', 'X12K', 'L16U', 'S41F', 'L11F']",6.0,"['J56J', 'E68C', 'A92Z', 'X48N', 'T7K', 'J71F']",1.0,['X27B']
57.0,7.0,"['L67O', 'D40D', 'P64E', 'X12K', 'L16U', 'S41F', 'L11F']",5.0,"['L82W', 'C16G', 'W82A', 'J66O', 'S19U']",4.0,"['L67O', 'D40D', 'P64E', 'X12K']",3.0,"['L16U', 'S41F', 'L11F']"
58.0,5.0,"['L82W', 'C16G', 'W82A', 'J66O', 'S19U']",8.0,"['X5B', 'V63I', 'W6Z', 'G11P', 'J38R', 'S39Y', 'N40S', 'F31E']",3.0,"['L82W', 'C16G', 'W82A']",2.0,"['J66O', 'S19U']"
59.0,8.0,"['X5B', 'V63I', 'W6Z', 'G11P', 'J38R', 'S39Y', 'N40S', 'F31E']",7.0,"['B81S', 'C68H', 'N11V', 'F3F', 'A8U', 'C66E', 'A40H']",5.0,"['X5B', 'V63I', 'W6Z', 'G11P', 'J38R']",3.0,"['S39Y', 'N40S', 'F31E']"
60.0,7.0,"['B81S', 'C68H', 'N11V', 'F3F', 'A8U', 'C66E', 'A40H']",7.0,"['N94U', 'P16Y', 'O26X', 'A10O', 'S18F', 'P61J', 'G92S']",5.0,"['B81S', 'C68H', 'N11V', 'F3F', 'A8U']",2.0,"['C66E', 'A40H']"
61.0,7.0,"['N94U', 'P16Y', 'O26X', 'A10O', 'S18F', 'P61J', 'G92S']",8.0,"['O49E', 'D80Z', 'T61J', 'L29V', 'P54X', 'A80I', 'K39M', 'X88Z']",4.0,"['N94U', 'P16Y', 'O26X', 'A10O']",3.0,"['S18F', 'P61J', 'G92S']"
62.0,8.0,"['O49E', 'D80Z', 'T61J', 'L29V', 'P54X', 'A80I', 'K39M', 'X88Z']",7.0,"['W43F', 'A14D', 'N41M', 'M40Y', 'N43N', 'D56P', 'U71Q']",3.0,"['O49E', 'D80Z', 'T61J']",5.0,"['L29V', 'P54X', 'A80I', 'K39M', 'X88Z']"
63.0,7.0,"['W43F', 'A14D', 'N41M', 'M40Y', 'N43N', 'D56P', 'U71Q']",9.0,"['R50C', 'N23S', 'Q54Q', 'W94U', 'F63W', 'I17T', 'T61V', 'C84J', 'W42Z']",4.0,"['W43F', 'A14D', 'N41M', 'M40Y']",3.0,"['N43N', 'D56P', 'U71Q']"
64.0,9.0,"['R50C', 'N23S', 'Q54Q', 'W94U', 'F63W', 'I17T', 'T61V', 'C84J', 'W42Z']",6.0,"['Z96W', 'H96N', 'E88A', 'F69S', 'E16U', 'O57L']",5.0,"['R50C', 'N23S', 'Q54Q', 'W94U', 'F63W']",4.0,"['I17T', 'T61V', 'C84J', 'W42Z']"
65.0,6.0,"['Z96W', 'H96N', 'E88A', 'F69S', 'E16U', 'O57L']",6.0,"['V22Y', 'K47W', 'R6S', 'S84Z', 'W30I', 'P34Q']",3.0,"['Z96W', 'H96N', 'E88A']",3.0,"['F69S', 'E16U', 'O57L']"
66.0,6.0,"['V22Y', 'K47W', 'R6S', 'S84Z', 'W30I', 'P34Q']",6.0,"['L36B', 'J42F', 'L34H', 'X40B', 'S13U', 'M13R']",3.0,"['V22Y', 'K47W', 'R6S']",3.0,"['S84Z', 'W30I', 'P34Q']"
67.0,6.0,"['L36B', 'J42F', 'L34H', 'X40B', 'S13U', 'M13R']",7.0,"['F17U', 'J21Q', 'J12X', 'U33Q', 'G87Z', 'I92R', 'Z73T']",3.0,"['L36B', 'J42F', 'L34H']",3.0,"['X40B', 'S13U', 'M13R']"
68.0,7.0,"['F17U', 'J21Q', 'J12X', 'U33Q', 'G87Z', 'I92R', 'Z73T']",7.0,"['Y39Z', 'U55I', 'X81X', 'H39O', 'R96Y', 'Y34U', 'U47R']",3.0,"['F17U', 'J21Q', 'J12X']",4.0,"['U33Q', 'G87Z', 'I92R', 'Z73T']"
69.0,7.0,"['Y39Z', 'U55I', 'X81X', 'H39O', 'R96Y', 'Y34U', 'U47R']",7.0,"['E99Z', 'U13T', 'M44C', 'Q32B', 'H75S', 'W15J', 'W35V']",5.0,"['Y39Z', 'U55I', 'X81X', 'H39O', 'R96Y']",2.0,"['Y34U', 'U47R']"
70.0,7.0,"['E99Z', 'U13T', 'M44C', 'Q32B', 'H75S', 'W15J', 'W35V']",7.0,"['D22X', 'B16D', 'C76E', 'Z54L', 'K23N', 'Q34D', 'A35G']",5.0,"['E99Z', 'U13T', 'M44C', 'Q32B', 'H75S']",2.0,"['W15J', 'W35V']"
71.0,7.0,"['D22X', 'B16D', 'C76E', 'Z54L', 'K23N', 'Q34D', 'A35G']",7.0,"['G26M', 'W80E', 'F74L', 'I16M', 'C21C', 'Y1P', 'H22Q']",6.0,"['D22X', 'B16D', 'C76E', 'Z54L', 'K23N', 'Q34D']",1.0,['A35G']
72.0,7.0,"['G26M', 'W80E', 'F74L', 'I16M', 'C21C', 'Y1P', 'H22Q']",6.0,"['K28X', 'Z26J', 'Z28V', 'J100P', 'E53C', 'A83U']",6.0,"['G26M', 'W80E', 'F74L', 'I16M', 'C21C', 'Y1P']",1.0,['H22Q']
73.0,6.0,"['K28X', 'Z26J', 'Z28V', 'J100P', 'E53C', 'A83U']",7.0,"['B32V', 'N39C', 'X16F', 'E90R', 'V84Q', 'A80V', 'B88S']",5.0,"['K28X', 'Z26J', 'Z28V', 'J100P', 'E53C']",1.0,['A83U']
74.0,7.0,"['B32V', 'N39C', 'X16F', 'E90R', 'V84Q', 'A80V', 'B88S']",9.0,"['B54B', 'N69N', 'Q33Z', 'H99E', 'H11L', 'B82M', 'Z67V', 'I85M', 'U95Z']",4.0,"['B32V', 'N39C', 'X16F', 'E90R']",3.0,"['V84Q', 'A80V', 'B88S']"
75.0,9.0,"['B54B', 'N69N', 'Q33Z', 'H99E', 'H11L', 'B82M', 'Z67V', 'I85M', 'U95Z']",8.0,"['C3X', 'F52M', 'Z98A', 'L25X', 'T33Y', 'N72D', 'A94A', 'L32E']",5.0,"['B54B', 'N69N', 'Q33Z', 'H99E', 'H11L']",4.0,"['B82M', 'Z67V', 'I85M', 'U95Z']"
76.0,8.0,"['C3X', 'F52M', 'Z98A', 'L25X', 'T33Y', 'N72D', 'A94A', 'L32E']",6.0,"['K28G', 'Y93F', 'M47Q', 'N27B', 'I87Q', 'A50R']",6.0,"['C3X', 'F52M', 'Z98A', 'L25X', 'T33Y', 'N72D']",2.0,"['A94A', 'L32E']"
77.0,6.0,"['K28G', 'Y93F', 'M47Q', 'N27B', 'I87Q', 'A50R']",7.0,"['D80R', 'K90I', 'A96N', 'X4G', 'Q32N', 'N7J', 'E56U']",6.0,"['K28G', 'Y93F', 'M47Q', 'N27B', 'I87Q', 'A50R']",0.0,[]
78.0,7.0,"['D80R', 'K90I', 'A96N', 'X4G', 'Q32N', 'N7J', 'E56U']",6.0,"['S2H', 'P19C', 'Y53R', 'R48G', 'A4P', 'I28X']",5.0,"['D80R', 'K90I', 'A96N', 'X4G', 'Q32N']",2.0,"['N7J', 'E56U']"
79.0,6.0,"['S2H', 'P19C', 'Y53R', 'R48G', 'A4P', 'I28X']",8.0,"['U69L', 'D46N', 'O89M', 'J100T', 'I19L', 'H29B', 'E4F', 'W97R']",5.0,"['S2H', 'P19C', 'Y53R', 'R48G', 'A4P']",1.0,['I28X']
80.0,8.0,"['U69L', 'D46N', 'O89M', 'J100T', 'I19L', 'H29B', 'E4F', 'W97R']",8.0,"['M84A', 'I28Z', 'N56U', 'U51D', 'U68P', 'B99F', 'O81D', 'I89J']",3.0,"['U69L', 'D46N', 'O89M']",5.0,"['J100T', 'I19L', 'H29B', 'E4F', 'W97R']"
81.0,8.0,"['M84A', 'I28Z', 'N56U', 'U51D', 'U68P', 'B99F', 'O81D', 'I89J']",6.0,"['Z2E', 'R53L', 'L24J', 'L69L', 'I15F', 'T85H']",6.0,"['M84A', 'I28Z', 'N56U', 'U51D', 'U68P', 'B99F']",2.0,"['O81D', 'I89J']"
82.0,6.0,"['Z2E', 'R53L', 'L24J', 'L69L', 'I15F', 'T85H']",7.0,"['Q16Z', 'G32V', 'P7G', 'J50K', 'Q63G', 'Z87L', 'W80N']",6.0,"['Z2E', 'R53L', 'L24J', 'L69L', 'I15F', 'T85H']",0.0,[]
83.0,7.0,"['Q16Z', 'G32V', 'P7G', 'J50K', 'Q63G', 'Z87L', 'W80N']",9.0,"['L48G', 'M17C', 'M53P', 'X76D', 'E91C', 'E65J', 'R68K', 'B3B', 'C71C']",6.0,"['Q16Z', 'G32V', 'P7G', 'J50K', 'Q63G', 'Z87L']",1.0,['W80N']
84.0,9.0,"['L48G', 'M17C', 'M53P', 'X76D', 'E91C', 'E65J', 'R68K', 'B3B', 'C71C']",6.0,"['V79D', 'F20X', 'P60I', 'N36G', 'T7N', 'C100H']",6.0,"['L48G', 'M17C', 'M53P', 'X76D', 'E91C', 'E65J']",3.0,"['R68K', 'B3B', 'C71C']"
85.0,6.0,"['V79D', 'F20X', 'P60I', 'N36G', 'T7N', 'C100H']",8.0,"['K7Z', 'R53G', 'Q48K', 'Q94A', 'R89R', 'F5J', 'M82B', 'X12F']",5.0,"['V79D', 'F20X', 'P60I', 'N36G', 'T7N']",1.0,['C100H']
86.0,8.0,"['K7Z', 'R53G', 'Q48K', 'Q94A', 'R89R', 'F5J', 'M82B', 'X12F']",9.0,"['S63H', 'J86U', 'P34X', 'U56D', 'W86F', 'X6P', 'H4L', 'P22B', 'P85J']",4.0,"['K7Z', 'R53G', 'Q48K', 'Q94A']",4.0,"['R89R', 'F5J', 'M82B', 'X12F']"
87.0,9.0,"['S63H', 'J86U', 'P34X', 'U56D', 'W86F', 'X6P', 'H4L', 'P22B', 'P85J']",8.0,"['B70N', 'U90U', 'F62R', 'F27G', 'Z54K', 'B20B', 'T58I', 'R43R']",6.0,"['S63H', 'J86U', 'P34X', 'U56D', 'W86F', 'X6P']",3.0,"['H4L', 'P22B', 'P85J']"
88.0,8.0,"['B70N', 'U90U', 'F62R', 'F27G', 'Z54K', 'B20B', 'T58I', 'R43R']",6.0,"['A43U', 'O100Z', 'V28F', 'W64U', 'O51W', 'P4P']",3.0,"['B70N', 'U90U', 'F62R']",5.0,"['F27G', 'Z54K', 'B20B', 'T58I', 'R43R']"
89.0,6.0,"['A43U', 'O100Z', 'V28F', 'W64U', 'O51W', 'P4P']",9.0,"['X58N', 'C3H', 'W87H', 'C73V', 'G80V', 'C83C', 'W97T', 'G40I', 'Q1Q']",6.0,"['A43U', 'O100Z', 'V28F', 'W64U', 'O51W', 'P4P']",0.0,[]
