Semana,Longitud cola,Cola,Arribos,Autos,Atenciones,Atendidos,Despachos,Despachados
1.0,0.0,[],7.0,"['T5T', 'U88F', 'O82B', 'P18H', 'N27P', 'Z33T', 'U81D']",5.0,"['T5T', 'U88F', 'O82B', 'P18H', 'N27P']",0.0,[]
2.0,2.0,"['Z33T', 'U81D']",8.0,"['E37L', 'V58C', 'D36P', 'E88Y', 'L20J', 'P71V', 'B86Z', 'W6O']",4.0,"['Z33T', 'U81D', 'E37L', 'V58C']",0.0,[]
3.0,6.0,"['D36P', 'E88Y', 'L20J', 'P71V', 'B86Z', 'W6O']",7.0,"['H46N', 'X8H', 'B91Z', 'S13R', 'V30V', 'S14W', 'J96W']",3.0,"['D36P', 'E88Y', 'L20J']",3.0,"['P71V', 'B86Z', 'W6O']"
4.0,7.0,"['H46N', 'X8H', 'B91Z', 'S13R', 'V30V', 'S14W', 'J96W']",6.0,"['G62Z', 'Q44V', 'E71E', 'J42W', 'A27V', 'N32B']",5.0,"['H46N', 'X8H', 'B91Z', 'S13R', 'V30V']",2.0,"['S14W', 'J96W']"
5.0,6.0,"['G62Z', 'Q44V', 'E71E', 'J42W', 'A27V', 'N32B']",6.0,"['P81R', 'Q21U', 'V44D', 'S81R', 'E13Q', 'C66I']",6.0,"['G62Z', 'Q44V', 'E71E', 'J42W', 'A27V', 'N32B']",0.0,[]
6.0,6.0,"['P81R', 'Q21U', 'V44D', 'S81R', 'E13Q', 'C66I']",7.0,"['D31B', 'I46T', 'T26D', 'M33C', 'C73Z', 'L55Q', 'N62S']",6.0,"['P81R', 'Q21U', 'V44D', 'S81R', 'E13Q', 'C66I']",0.0,[]
7.0,7.0,"['D31B', 'I46T', 'T26D', 'M33C', 'C73Z', 'L55Q', 'N62S']",7.0,"['F76G', 'C49M', 'Y51O', 'G55J', 'H83L', 'Z95L', 'V87Y']",5.0,"['D31B', 'I46T', 'T26D', 'M33C', 'C73Z']",2.0,"['L55Q', 'N62S']"
8.0,7.0,"['F76G', 'C49M', 'Y51O', 'G55J', 'H83L', 'Z95L', 'V87Y']",6.0,"['A69K', 'X100J', 'V59N', 'U97K', 'N92K', 'T66P']",3.0,"['F76G', 'C49M', 'Y51O']",4.0,"['G55J', 'H83L', 'Z95L', 'V87Y']"
9.0,6.0,"['A69K', 'X100J', 'V59N', 'U97K', 'N92K', 'T66P']",6.0,"['N44J', 'L36A', 'T5M', 'Z76B', 'G5T', 'B88Q']",3.0,"['A69K', 'X100J', 'V59N']",3.0,"['U97K', 'N92K', 'T66P']"
10.0,6.0,"['N44J', 'L36A', 'T5M', 'Z76B', 'G5T', 'B88Q']",8.0,"['M2P', 'B41J', 'D68Z', 'J56K', 'A73F', 'R25C', 'T66G', 'U60J']",6.0,"['N44J', 'L36A', 'T5M', 'Z76B', 'G5T', 'B88Q']",0.0,[]
11.0,8.0,"['M2P', 'B41J', 'D68Z', 'J56K', 'A73F', 'R25C', 'T66G', 'U60J']",9.0,"['A62Q', 'A89H', 'Z15I', 'T69N', 'M95U', 'D34Z', 'U98X', 'H26Z', 'A43J']",5.0,"['M2P', 'B41J', 'D68Z', 'J56K', 'A73F']",3.0,"['R25C', 'T66G', 'U60J']"
12.0,9.0,"['A62Q', 'A89H', 'Z15I', 'T69N', 'M95U', 'D34Z', 'U98X', 'H26Z', 'A43J']",7.0,"['P37S', 'A11V', 'V34S', 'L43B', 'G59T', 'P17A', 'X99C']",3.0,"['A62Q', 'A89H', 'Z15I']",6.0,"['T69N', 'M95U', 'D34Z', 'U98X', 'H26Z', 'A43J']"
13.0,7.0,"['P37S', 'A11V', 'V34S', 'L43B', 'G59T', 'P17A', 'X99C']",8.0,"['T96P', 'P17M', 'P27S', 'C76P', 'N11O', 'V8P', 'R49A', 'T61P']",5.0,"['P37S', 'A11V', 'V34S', 'L43B', 'G59T']",2.0,"['P17A', 'X99C']"
