Semana,Longitud cola,Cola,Arribos,Autos,Atenciones,Atendidos,Despachos,Despachados
21.0,7.0,"['Y59E', 'O11L', 'C75U', 'V96I', 'C89W', 'E3X', 'W9X']",9.0,"['X44R', 'Q27H', 'F88Y', 'G63G', 'O25I', 'G59Q', 'K83R', 'W54X', 'R81H']",5.0,"['Y59E', 'O11L', 'C75U', 'V96I', 'C89W']",2.0,"['E3X', 'W9X']"
22.0,9.0,"['X44R', 'Q27H', 'F88Y', 'G63G', 'O25I', 'G59Q', 'K83R', 'W54X', 'R81H']",5.0,"['N45O', 'W44T', 'I9O', 'L58D', 'U60Z']",5.0,"['X44R', 'Q27H', 'F88Y', 'G63G', 'O25I']",4.0,"['G59Q', 'K83R', 'W54X', 'R81H']"
23.0,5.0,"['N45O', 'W44T', 'I9O', 'L58D', 'U60Z']",6.0,"['S68N', 'P61Y', 'Y65W', 'A6M', 'A26S', 'Y97Q']",4.0,"['N45O', 'W44T', 'I9O', 'L58D']",1.0,['U60Z']
24.0,6.0,"['S68N', 'P61Y', 'Y65W', 'A6M', 'A26S', 'Y97Q']",8.0,"['L5G', 'D53X', 'C88H', 'U89Z', 'G24S', 'U57F', 'O63D', 'E4W']",4.0,"['S68N', 'P61Y', 'Y65W', 'A6M']",2.0,"['A26S', 'Y97Q']"
25.0,8.0,"['L5G', 'D53X', 'C88H', 'U89Z', 'G24S', 'U57F', 'O63D', 'E4W']",7.0,"['N71R', 'Y99U', 'W39Z', 'Z95W', 'F18Z', 'D8T', 'R86G']",3.0,"['L5G', 'D53X', 'C88H']",5.0,"['U89Z', 'G24S', 'U57F', 'O63D', 'E4W']"
26.0,7.0,"['N71R', 'Y99U', 'W39Z', 'Z95W', 'F18Z', 'D8T', 'R86G']",5.0,"['J92P', 'P25F', 'H13X', 'K77V', 'A75F']",3.0,"['N71R', 'Y99U', 'W39Z']",4.0,"['Z95W', 'F18Z', 'D8T', 'R86G']"
27.0,5.0,"['J92P', 'P25F', 'H13X', 'K77V', 'A75F']",7.0,"['N15A', 'D84N', 'Y39Z', 'X41O', 'P22Q', 'I86L', 'E12V']",4.0,"['J92P', 'P25F', 'H13X', 'K77V']",1.0,['A75F']
28.0,7.0,"['N15A', 'D84N', 'Y39Z', 'X41O', 'P22Q', 'I86L', 'E12V']",8.0,"['R53A', 'V79U', 'A44B', 'V3G', 'U11Y', 'K16O', 'P63R', 'V36L']",5.0,"['N15A', 'D84N', 'Y39Z', 'X41O', 'P22Q']",2.0,"['I86L', 'E12V']"
29.0,8.0,"['R53A', 'V79U', 'A44B', 'V3G', 'U11Y', 'K16O', 'P63R', 'V36L']",6.0,"['N22K', 'J33K', 'G46F', 'Q3G', 'N83F', 'U75H']",5.0,"['R53A', 'V79U', 'A44B', 'V3G', 'U11Y']",3.0,"['K16O', 'P63R', 'V36L']"
30.0,6.0,"['N22K', 'J33K', 'G46F', 'Q3G', 'N83F', 'U75H']",7.0,"['N37X', 'B37K', 'Q62I', 'L24Q', 'H25A', 'T28J', 'F84X']",4.0,"['N22K', 'J33K', 'G46F', 'Q3G']",2.0,"['N83F', 'U75H']"
31.0,7.0,"['N37X', 'B37K', 'Q62I', 'L24Q', 'H25A', 'T28J', 'F84X']",7.0,"['R91V', 'F81G', 'S31I', 'Z97S', 'Q90R', 'C7X', 'X73U']",4.0,"['N37X', 'B37K', 'Q62I', 'L24Q']",3.0,"['H25A', 'T28J', 'F84X']"
32.0,7.0,"['R91V', 'F81G', 'S31I', 'Z97S', 'Q90R', 'C7X', 'X73U']",8.0,"['R19O', 'G48U', 'U53C', 'A88T', 'I90G', 'F14P', 'G58J', 'C46B']",4.0,"['R91V', 'F81G', 'S31I', 'Z97S']",3.0,"['Q90R', 'C7X', 'X73U']"
33.0,8.0,"['R19O', 'G48U', 'U53C', 'A88T', 'I90G', 'F14P', 'G58J', 'C46B']",6.0,"['Q46V', 'W47M', 'E97D', 'S75E', 'B12I', 'M41B']",4.0,"['R19O', 'G48U', 'U53C', 'A88T']",4.0,"['I90G', 'F14P', 'G58J', 'C46B']"
34.0,6.0,"['Q46V', 'W47M', 'E97D', 'S75E', 'B12I', 'M41B']",7.0,"['Y64D', 'X3G', 'B52E', 'Y73M', 'D75W', 'X87L', 'Q42R']",6.0,"['Q46V', 'W47M', 'E97D', 'S75E', 'B12I', 'M41B']",0.0,[]
35.0,7.0,"['Y64D', 'X3G', 'B52E', 'Y73M', 'D75W', 'X87L', 'Q42R']",5.0,"['N36Q', 'R36W', 'T36U', 'K94S', 'P13P']",5.0,"['Y64D', 'X3G', 'B52E', 'Y73M', 'D75W']",2.0,"['X87L', 'Q42R']"
36.0,5.0,"['N36Q', 'R36W', 'T36U', 'K94S', 'P13P']",6.0,"['B27E', 'U34I', 'P28G', 'N26B', 'U56O', 'L60P']",5.0,"['N36Q', 'R36W', 'T36U', 'K94S', 'P13P']",0.0,[]
37.0,6.0,"['B27E', 'U34I', 'P28G', 'N26B', 'U56O', 'L60P']",7.0,"['F9F', 'R79I', 'G29P', 'V57E', 'B43R', 'K41Y', 'G80F']",4.0,"['B27E', 'U34I', 'P28G', 'N26B']",2.0,"['U56O', 'L60P']"
38.0,7.0,"['F9F', 'R79I', 'G29P', 'V57E', 'B43R', 'K41Y', 'G80F']",9.0,"['J44L', 'V66W', 'K17M', 'M20L', 'Y90J', 'N41C', 'T25S', 'V4H', 'V72G']",4.0,"['F9F', 'R79I', 'G29P', 'V57E']",3.0,"['B43R', 'K41Y', 'G80F']"
39.0,9.0,"['J44L', 'V66W', 'K17M', 'M20L', 'Y90J', 'N41C', 'T25S', 'V4H', 'V72G']",9.0,"['N18R', 'T56O', 'M80F', 'H16F', 'K82R', 'Q43P', 'S65M', 'S11B', 'N69V']",6.0,"['J44L', 'V66W', 'K17M', 'M20L', 'Y90J', 'N41C']",3.0,"['T25S', 'V4H', 'V72G']"
40.0,9.0,"['N18R', 'T56O', 'M80F', 'H16F', 'K82R', 'Q43P', 'S65M', 'S11B', 'N69V']",5.0,"['H70W', 'D67A', 'R69X', 'Q44V', 'V17Z']",5.0,"['N18R', 'T56O', 'M80F', 'H16F', 'K82R']",4.0,"['Q43P', 'S65M', 'S11B', 'N69V']"
41.0,5.0,"['H70W', 'D67A', 'R69X', 'Q44V', 'V17Z']",7.0,"['D55P', 'I94D', 'C84J', 'Q47G', 'E47R', 'M18O', 'J92M']",3.0,"['H70W', 'D67A', 'R69X']",2.0,"['Q44V', 'V17Z']"
42.0,7.0,"['D55P', 'I94D', 'C84J', 'Q47G', 'E47R', 'M18O', 'J92M']",7.0,"['L60K', 'R41M', 'H89J', 'B77X', 'M15A', 'S28X', 'G43A']",3.0,"['D55P', 'I94D', 'C84J']",4.0,"['Q47G', 'E47R', 'M18O', 'J92M']"
43.0,7.0,"['L60K', 'R41M', 'H89J', 'B77X', 'M15A', 'S28X', 'G43A']",6.0,"['M71K', 'E56K', 'Y8B', 'M98X', 'X34J', 'K37G']",3.0,"['L60K', 'R41M', 'H89J']",4.0,"['B77X', 'M15A', 'S28X', 'G43A']"
44.0,6.0,"['M71K', 'E56K', 'Y8B', 'M98X', 'X34J', 'K37G']",7.0,"['F25F', 'O12A', 'F99S', 'D82O', 'L57M', 'J86D', 'B48E']",5.0,"['M71K', 'E56K', 'Y8B', 'M98X', 'X34J']",1.0,['K37G']
45.0,7.0,"['F25F', 'O12A', 'F99S', 'D82O', 'L57M', 'J86D', 'B48E']",9.0,"['U8N', 'H57P', 'Y37X', 'Q57H', 'P13Y', 'U76H', 'P79S', 'N89V', 'K63R']",6.0,"['F25F', 'O12A', 'F99S', 'D82O', 'L57M', 'J86D']",1.0,['B48E']
46.0,9.0,"['U8N', 'H57P', 'Y37X', 'Q57H', 'P13Y', 'U76H', 'P79S', 'N89V', 'K63R']",5.0,"['D56U', 'Z75H', 'X17J', 'D15X', 'D67F']",3.0,"['U8N', 'H57P', 'Y37X']",6.0,"['Q57H', 'P13Y', 'U76H', 'P79S', 'N89V', 'K63R']"
47.0,5.0,"['D56U', 'Z75H', 'X17J', 'D15X', 'D67F']",7.0,"['A8X', 'L63U', 'Z46G', 'E82L', 'S64D', 'F15N', 'H49U']",6.0,"['D56U', 'Z75H', 'X17J', 'D15X', 'D67F', 'A8X']",0.0,[]
48.0,6.0,"['L63U', 'Z46G', 'E82L', 'S64D', 'F15N', 'H49U']",6.0,"['D92C', 'N1L', 'Y2V', 'S42Z', 'Z46H', 'C81Z']",6.0,"['L63U', 'Z46G', 'E82L', 'S64D', 'F15N', 'H49U']",0.0,[]
49.0,6.0,"['D92C', 'N1L', 'Y2V', 'S42Z', 'Z46H', 'C81Z']",7.0,"['M56Z', 'J82M', 'L93K', 'F18L', 'B70N', 'T61K', 'P37L']",4.0,"['D92C', 'N1L', 'Y2V', 'S42Z']",2.0,"['Z46H', 'C81Z']"
50.0,7.0,"['M56Z', 'J82M', 'L93K', 'F18L', 'B70N', 'T61K', 'P37L']",7.0,"['T27I', 'N66A', 'K26H', 'C66G', 'E1F', 'K69A', 'Q25T']",6.0,"['M56Z', 'J82M', 'L93K', 'F18L', 'B70N', 'T61K']",1.0,['P37L']
51.0,7.0,"['T27I', 'N66A', 'K26H', 'C66G', 'E1F', 'K69A', 'Q25T']",9.0,"['N53S', 'A27A', 'Z41Q', 'I69A', 'G83X', 'Q44B', 'B74F', 'T80A', 'D45H']",3.0,"['T27I', 'N66A', 'K26H']",4.0,"['C66G', 'E1F', 'K69A', 'Q25T']"
52.0,9.0,"['N53S', 'A27A', 'Z41Q', 'I69A', 'G83X', 'Q44B', 'B74F', 'T80A', 'D45H']",6.0,"['F56R', 'P26J', 'Q86A', 'E62A', 'E77F', 'O3B']",6.0,"['N53S', 'A27A', 'Z41Q', 'I69A', 'G83X', 'Q44B']",3.0,"['B74F', 'T80A', 'D45H']"
53.0,6.0,"['F56R', 'P26J', 'Q86A', 'E62A', 'E77F', 'O3B']",7.0,"['T89Z', 'Y10K', 'N66E', 'C74Z', 'S70K', 'N21W', 'H97K']",3.0,"['F56R', 'P26J', 'Q86A']",3.0,"['E62A', 'E77F', 'O3B']"
54.0,7.0,"['T89Z', 'Y10K', 'N66E', 'C74Z', 'S70K', 'N21W', 'H97K']",6.0,"['B79M', 'H27L', 'V57M', 'W96M', 'J93Z', 'P21F']",6.0,"['T89Z', 'Y10K', 'N66E', 'C74Z', 'S70K', 'N21W']",1.0,['H97K']
55.0,6.0,"['B79M', 'H27L', 'V57M', 'W96M', 'J93Z', 'P21F']",8.0,"['X9D', 'N71S', 'J10X', 'J16Y', 'B22M', 'R56P', 'W88W', 'G92N']",3.0,"['B79M', 'H27L', 'V57M']",3.0,"['W96M', 'J93Z', 'P21F']"
56.0,8.0,"['X9D', 'N71S', 'J10X', 'J16Y', 'B22M', 'R56P', 'W88W', 'G92N']",9.0,"['V37G', 'L5Z', 'B93F', 'O53T', 'O92N', 'Y43J', 'Q39E', 'A78O', 'E4F']",3.0,"['X9D', 'N71S', 'J10X']",5.0,"['J16Y', 'B22M', 'R56P', 'W88W', 'G92N']"
57.0,9.0,"['V37G', 'L5Z', 'B93F', 'O53T', 'O92N', 'Y43J', 'Q39E', 'A78O', 'E4F']",7.0,"['I24S', 'T98B', 'G93S', 'T9F', 'Y8D', 'C4V', 'M21W']",6.0,"['V37G', 'L5Z', 'B93F', 'O53T', 'O92N', 'Y43J']",3.0,"['Q39E', 'A78O', 'E4F']"
58.0,7.0,"['I24S', 'T98B', 'G93S', 'T9F', 'Y8D', 'C4V', 'M21W']",7.0,"['K83X', 'W56U', 'W76F', 'G35C', 'J79S', 'B75Z', 'G59F']",5.0,"['I24S', 'T98B', 'G93S', 'T9F', 'Y8D']",2.0,"['C4V', 'M21W']"
59.0,7.0,"['K83X', 'W56U', 'W76F', 'G35C', 'J79S', 'B75Z', 'G59F']",5.0,"['R79R', 'P28Q', 'J3K', 'W82P', 'M42X']",3.0,"['K83X', 'W56U', 'W76F']",4.0,"['G35C', 'J79S', 'B75Z', 'G59F']"
60.0,5.0,"['R79R', 'P28Q', 'J3K', 'W82P', 'M42X']",7.0,"['C81G', 'E26P', 'Q51L', 'O47X', 'V73C', 'M35P', 'I10A']",6.0,"['R79R', 'P28Q', 'J3K', 'W82P', 'M42X', 'C81G']",0.0,[]
61.0,6.0,"['E26P', 'Q51L', 'O47X', 'V73C', 'M35P', 'I10A']",5.0,"['G14B', 'G59Z', 'C6D', 'N37Z', 'T46Y']",5.0,"['E26P', 'Q51L', 'O47X', 'V73C', 'M35P']",1.0,['I10A']
62.0,5.0,"['G14B', 'G59Z', 'C6D', 'N37Z', 'T46Y']",7.0,"['V23R', 'I59S', 'Q74L', 'W62O', 'U21U', 'Y92R', 'R35Q']",6.0,"['G14B', 'G59Z', 'C6D', 'N37Z', 'T46Y', 'V23R']",0.0,[]
63.0,6.0,"['I59S', 'Q74L', 'W62O', 'U21U', 'Y92R', 'R35Q']",6.0,"['G58C', 'O67G', 'L55G', 'O1Q', 'R56T', 'A7P']",4.0,"['I59S', 'Q74L', 'W62O', 'U21U']",2.0,"['Y92R', 'R35Q']"
64.0,6.0,"['G58C', 'O67G', 'L55G', 'O1Q', 'R56T', 'A7P']",5.0,"['C84H', 'F90R', 'O85A', 'P2T', 'E21H']",5.0,"['G58C', 'O67G', 'L55G', 'O1Q', 'R56T']",1.0,['A7P']
65.0,5.0,"['C84H', 'F90R', 'O85A', 'P2T', 'E21H']",9.0,"['K24J', 'A70W', 'Q4V', 'R75U', 'C10V', 'I41E', 'S95R', 'A88C', 'U2A']",6.0,"['C84H', 'F90R', 'O85A', 'P2T', 'E21H', 'K24J']",0.0,[]
66.0,8.0,"['A70W', 'Q4V', 'R75U', 'C10V', 'I41E', 'S95R', 'A88C', 'U2A']",7.0,"['X75F', 'M33Y', 'N10Q', 'H48O', 'S43N', 'Y75W', 'L49V']",3.0,"['A70W', 'Q4V', 'R75U']",5.0,"['C10V', 'I41E', 'S95R', 'A88C', 'U2A']"
67.0,7.0,"['X75F', 'M33Y', 'N10Q', 'H48O', 'S43N', 'Y75W', 'L49V']",8.0,"['R34A', 'H18F', 'D78S', 'E43V', 'G95Y', 'V72V', 'M9E', 'F21G']",6.0,"['X75F', 'M33Y', 'N10Q', 'H48O', 'S43N', 'Y75W']",1.0,['L49V']
68.0,8.0,"['R34A', 'H18F', 'D78S', 'E43V', 'G95Y', 'V72V', 'M9E', 'F21G']",7.0,"['H48P', 'F1E', 'H71W', 'P50Z', 'T83B', 'G85N', 'U78V']",4.0,"['R34A', 'H18F', 'D78S', 'E43V']",4.0,"['G95Y', 'V72V', 'M9E', 'F21G']"
69.0,7.0,"['H48P', 'F1E', 'H71W', 'P50Z', 'T83B', 'G85N', 'U78V']",5.0,"['L37K', 'N27M', 'T63E', 'G70C', 'Y95Y']",6.0,"['H48P', 'F1E', 'H71W', 'P50Z', 'T83B', 'G85N']",1.0,['U78V']
70.0,5.0,"['L37K', 'N27M', 'T63E', 'G70C', 'Y95Y']",7.0,"['X16C', 'S26X', 'Q36G', 'E34X', 'P74S', 'Y98V', 'I69E']",3.0,"['L37K', 'N27M', 'T63E']",2.0,"['G70C', 'Y95Y']"
71.0,7.0,"['X16C', 'S26X', 'Q36G', 'E34X', 'P74S', 'Y98V', 'I69E']",7.0,"['A18K', 'A6B', 'I61H', 'S27S', 'H84E', 'F12A', 'M70K']",3.0,"['X16C', 'S26X', 'Q36G']",4.0,"['E34X', 'P74S', 'Y98V', 'I69E']"
72.0,7.0,"['A18K', 'A6B', 'I61H', 'S27S', 'H84E', 'F12A', 'M70K']",6.0,"['P35S', 'U23Z', 'Y35A', 'Q92P', 'I85K', 'X83O']",3.0,"['A18K', 'A6B', 'I61H']",4.0,"['S27S', 'H84E', 'F12A', 'M70K']"
73.0,6.0,"['P35S', 'U23Z', 'Y35A', 'Q92P', 'I85K', 'X83O']",9.0,"['U4R', 'W22L', 'Z37G', 'M56C', 'W25R', 'M35Q', 'F61X', 'W13V', 'A15S']",3.0,"['P35S', 'U23Z', 'Y35A']",3.0,"['Q92P', 'I85K', 'X83O']"
74.0,9.0,"['U4R', 'W22L', 'Z37G', 'M56C', 'W25R', 'M35Q', 'F61X', 'W13V', 'A15S']",5.0,"['X15N', 'T30W', 'Y52F', 'V94R', 'G46A']",6.0,"['U4R', 'W22L', 'Z37G', 'M56C', 'W25R', 'M35Q']",3.0,"['F61X', 'W13V', 'A15S']"
75.0,5.0,"['X15N', 'T30W', 'Y52F', 'V94R', 'G46A']",8.0,"['D100Y', 'Q27T', 'J96N', 'R19D', 'M3U', 'P88J', 'E53S', 'F90T']",3.0,"['X15N', 'T30W', 'Y52F']",2.0,"['V94R', 'G46A']"
76.0,8.0,"['D100Y', 'Q27T', 'J96N', 'R19D', 'M3U', 'P88J', 'E53S', 'F90T']",6.0,"['Y18X', 'F57U', 'Y94A', 'D36D', 'C46K', 'D89B']",4.0,"['D100Y', 'Q27T', 'J96N', 'R19D']",4.0,"['M3U', 'P88J', 'E53S', 'F90T']"
