Semana,Longitud cola,Cola,Arribos,Autos,Atenciones,Atendidos,Despachos,Despachados
1.0,0.0,[],9.0,"['T1W', 'W54J', 'A25F', 'S56G', 'C17H', 'X67Q', 'V27N', 'Z50O', 'C52J']",5.0,"['T1W', 'W54J', 'A25F', 'S56G', 'C17H']",0.0,[]
2.0,4.0,"['X67Q', 'V27N', 'Z50O', 'C52J']",7.0,"['X9J', 'U16O', 'B5A', 'W34Y', 'Q40B', 'Z63J', 'O93I']",4.0,"['X67Q', 'V27N', 'Z50O', 'C52J']",0.0,[]
3.0,7.0,"['X9J', 'U16O', 'B5A', 'W34Y', 'Q40B', 'Z63J', 'O93I']",6.0,"['V2T', 'E29Y', 'O91S', 'K45L', 'A13A', 'S55O']",5.0,"['X9J', 'U16O', 'B5A', 'W34Y', 'Q40B']",2.0,"['Z63J', 'O93I']"
4.0,6.0,"['V2T', 'E29Y', 'O91S', 'K45L', 'A13A', 'S55O']",9.0,"['X69A', 'V80C', 'U61C', 'S84P', 'Z18D', 'M35O', 'S93B', 'Y92U', 'U77Y']",5.0,"['V2T', 'E29Y', 'O91S', 'K45L', 'A13A']",1.0,['S55O']
5.0,9.0,"['X69A', 'V80C', 'U61C', 'S84P', 'Z18D', 'M35O', 'S93B', 'Y92U', 'U77Y']",7.0,"['U65H', 'H49E', 'X67T', 'U75P', 'K19T', 'U78I', 'Z19P']",6.0,"['X69A', 'V80C', 'U61C', 'S84P', 'Z18D', 'M35O']",3.0,"['S93B', 'Y92U', 'U77Y']"
6.0,7.0,"['U65H', 'H49E', 'X67T', 'U75P', 'K19T', 'U78I', 'Z19P']",7.0,"['B34B', 'U4Y', 'D99P', 'U26S', 'T6J', 'Q54A', 'Y47U']",6.0,"['U65H', 'H49E', 'X67T', 'U75P', 'K19T', 'U78I']",1.0,['Z19P']
7.0,7.0,"['B34B', 'U4Y', 'D99P', 'U26S', 'T6J', 'Q54A', 'Y47U']",8.0,"['T87R', 'V3H', 'Z62P', 'C76K', 'G96B', 'C84E', 'A83X', 'M36L']",5.0,"['B34B', 'U4Y', 'D99P', 'U26S', 'T6J']",2.0,"['Q54A', 'Y47U']"
8.0,8.0,"['T87R', 'V3H', 'Z62P', 'C76K', 'G96B', 'C84E', 'A83X', 'M36L']",6.0,"['Q87B', 'S38E', 'F60D', 'Y85Z', 'Q50S', 'A93V']",5.0,"['T87R', 'V3H', 'Z62P', 'C76K', 'G96B']",3.0,"['C84E', 'A83X', 'M36L']"
9.0,6.0,"['Q87B', 'S38E', 'F60D', 'Y85Z', 'Q50S', 'A93V']",6.0,"['N29K', 'G74B', 'F72M', 'X77F', 'G22N', 'V17Z']",3.0,"['Q87B', 'S38E', 'F60D']",3.0,"['Y85Z', 'Q50S', 'A93V']"
10.0,6.0,"['N29K', 'G74B', 'F72M', 'X77F', 'G22N', 'V17Z']",7.0,"['B72P', 'R70B', 'P31A', 'K21K', 'M66L', 'F62Q', 'R74S']",4.0,"['N29K', 'G74B', 'F72M', 'X77F']",2.0,"['G22N', 'V17Z']"
11.0,7.0,"['B72P', 'R70B', 'P31A', 'K21K', 'M66L', 'F62Q', 'R74S']",6.0,"['W13P', 'X55G', 'T27Z', 'U21W', 'G39O', 'P62I']",3.0,"['B72P', 'R70B', 'P31A']",4.0,"['K21K', 'M66L', 'F62Q', 'R74S']"
12.0,6.0,"['W13P', 'X55G', 'T27Z', 'U21W', 'G39O', 'P62I']",5.0,"['K31V', 'N7W', 'N100F', 'J81D', 'W32A']",5.0,"['W13P', 'X55G', 'T27Z', 'U21W', 'G39O']",1.0,['P62I']
13.0,5.0,"['K31V', 'N7W', 'N100F', 'J81D', 'W32A']",7.0,"['D98I', 'X32B', 'H27S', 'H62U', 'Y60Q', 'Q93K', 'C99P']",4.0,"['K31V', 'N7W', 'N100F', 'J81D']",1.0,['W32A']
14.0,7.0,"['D98I', 'X32B', 'H27S', 'H62U', 'Y60Q', 'Q93K', 'C99P']",8.0,"['Y69U', 'O67B', 'Q54G', 'D95W', 'V91I', 'B73U', 'J72Y', 'V69P']",4.0,"['D98I', 'X32B', 'H27S', 'H62U']",3.0,"['Y60Q', 'Q93K', 'C99P']"
15.0,8.0,"['Y69U', 'O67B', 'Q54G', 'D95W', 'V91I', 'B73U', 'J72Y', 'V69P']",5.0,"['Z19N', 'Y2R', 'Y5Q', 'O29B', 'N78B']",3.0,"['Y69U', 'O67B', 'Q54G']",5.0,"['D95W', 'V91I', 'B73U', 'J72Y', 'V69P']"
16.0,5.0,"['Z19N', 'Y2R', 'Y5Q', 'O29B', 'N78B']",8.0,"['Z92C', 'C88F', 'Q32W', 'W96C', 'R37A', 'J48J', 'S26K', 'J82R']",4.0,"['Z19N', 'Y2R', 'Y5Q', 'O29B']",1.0,['N78B']
17.0,8.0,"['Z92C', 'C88F', 'Q32W', 'W96C', 'R37A', 'J48J', 'S26K', 'J82R']",6.0,"['E66C', 'D36L', 'A67G', 'W2A', 'V66N', 'M87Q']",4.0,"['Z92C', 'C88F', 'Q32W', 'W96C']",4.0,"['R37A', 'J48J', 'S26K', 'J82R']"
18.0,6.0,"['E66C', 'D36L', 'A67G', 'W2A', 'V66N', 'M87Q']",7.0,"['U76C', 'Q19Z', 'M1W', 'M29C', 'L41P', 'M72C', 'B97U']",5.0,"['E66C', 'D36L', 'A67G', 'W2A', 'V66N']",1.0,['M87Q']
19.0,7.0,"['U76C', 'Q19Z', 'M1W', 'M29C', 'L41P', 'M72C', 'B97U']",9.0,"['C66F', 'M97U', 'K17F', 'V65A', 'G85S', 'J20W', 'B76V', 'V30K', 'J12O']",6.0,"['U76C', 'Q19Z', 'M1W', 'M29C', 'L41P', 'M72C']",1.0,['B97U']
20.0,9.0,"['C66F', 'M97U', 'K17F', 'V65A', 'G85S', 'J20W', 'B76V', 'V30K', 'J12O']",8.0,"['I93L', 'F69V', 'U50J', 'D33V', 'O84K', 'M61H', 'C26B', 'B43W']",4.0,"['C66F', 'M97U', 'K17F', 'V65A']",5.0,"['G85S', 'J20W', 'B76V', 'V30K', 'J12O']"
21.0,8.0,"['I93L', 'F69V', 'U50J', 'D33V', 'O84K', 'M61H', 'C26B', 'B43W']",6.0,"['A31A', 'V86U', 'Z30B', 'Z52K', 'Y24Q', 'W59Z']",3.0,"['I93L', 'F69V', 'U50J']",5.0,"['D33V', 'O84K', 'M61H', 'C26B', 'B43W']"
22.0,6.0,"['A31A', 'V86U', 'Z30B', 'Z52K', 'Y24Q', 'W59Z']",7.0,"['B23Y', 'Q35U', 'E99Y', 'G45V', 'M56C', 'W100V', 'F88R']",3.0,"['A31A', 'V86U', 'Z30B']",3.0,"['Z52K', 'Y24Q', 'W59Z']"
