Semana,Longitud cola,Cola,Arribos,Autos,Atenciones,Atendidos,Despachos,Despachados
23.0,7.0,"['B23Y', 'Q35U', 'E99Y', 'G45V', 'M56C', 'W100V', 'F88R']",8.0,"['O74H', 'D29D', 'X5K', 'D44B', 'Z63K', 'J20J', 'Q66F', 'J5T']",4.0,"['B23Y', 'Q35U', 'E99Y', 'G45V']",3.0,"['M56C', 'W100V', 'F88R']"
24.0,8.0,"['O74H', 'D29D', 'X5K', 'D44B', 'Z63K', 'J20J', 'Q66F', 'J5T']",7.0,"['V57F', 'W66T', 'A81N', 'H11R', 'Y61F', 'K5C', 'K62W']",3.0,"['O74H', 'D29D', 'X5K']",5.0,"['D44B', 'Z63K', 'J20J', 'Q66F', 'J5T']"
25.0,7.0,"['V57F', 'W66T', 'A81N', 'H11R', 'Y61F', 'K5C', 'K62W']",6.0,"['H14N', 'E48C', 'M6E', 'D10F', 'I95A', 'I59K']",5.0,"['V57F', 'W66T', 'A81N', 'H11R', 'Y61F']",2.0,"['K5C', 'K62W']"
26.0,6.0,"['H14N', 'E48C', 'M6E', 'D10F', 'I95A', 'I59K']",7.0,"['O36J', 'J42I', 'S43D', 'W43X', 'S10Y', 'H51U', 'A16Y']",5.0,"['H14N', 'E48C', 'M6E', 'D10F', 'I95A']",1.0,['I59K']
27.0,7.0,"['O36J', 'J42I', 'S43D', 'W43X', 'S10Y', 'H51U', 'A16Y']",7.0,"['K8P', 'V96I', 'V65W', 'X57T', 'B12Z', 'M7W', 'P15Q']",3.0,"['O36J', 'J42I', 'S43D']",4.0,"['W43X', 'S10Y', 'H51U', 'A16Y']"
28.0,7.0,"['K8P', 'V96I', 'V65W', 'X57T', 'B12Z', 'M7W', 'P15Q']",5.0,"['L16F', 'W3T', 'V44Y', 'O90W', 'B99C']",6.0,"['K8P', 'V96I', 'V65W', 'X57T', 'B12Z', 'M7W']",1.0,['P15Q']
29.0,5.0,"['L16F', 'W3T', 'V44Y', 'O90W', 'B99C']",6.0,"['N17X', 'J29H', 'R21X', 'X44Q', 'J37U', 'F53V']",6.0,"['L16F', 'W3T', 'V44Y', 'O90W', 'B99C', 'N17X']",0.0,[]
30.0,5.0,"['J29H', 'R21X', 'X44Q', 'J37U', 'F53V']",8.0,"['I88Z', 'Z99W', 'H36U', 'J1Y', 'K79A', 'U94W', 'X23S', 'X94Z']",5.0,"['J29H', 'R21X', 'X44Q', 'J37U', 'F53V']",0.0,[]
31.0,8.0,"['I88Z', 'Z99W', 'H36U', 'J1Y', 'K79A', 'U94W', 'X23S', 'X94Z']",6.0,"['B29E', 'E71P', 'E1I', 'T94M', 'X58Q', 'I71L']",6.0,"['I88Z', 'Z99W', 'H36U', 'J1Y', 'K79A', 'U94W']",2.0,"['X23S', 'X94Z']"
32.0,6.0,"['B29E', 'E71P', 'E1I', 'T94M', 'X58Q', 'I71L']",6.0,"['X86K', 'P93J', 'A81O', 'I14S', 'O71Y', 'S56G']",3.0,"['B29E', 'E71P', 'E1I']",3.0,"['T94M', 'X58Q', 'I71L']"
33.0,6.0,"['X86K', 'P93J', 'A81O', 'I14S', 'O71Y', 'S56G']",6.0,"['Y8R', 'N31W', 'F3M', 'F47H', 'L84H', 'W5Y']",6.0,"['X86K', 'P93J', 'A81O', 'I14S', 'O71Y', 'S56G']",0.0,[]
34.0,6.0,"['Y8R', 'N31W', 'F3M', 'F47H', 'L84H', 'W5Y']",5.0,"['P28W', 'T71W', 'G89T', 'I26K', 'O46V']",3.0,"['Y8R', 'N31W', 'F3M']",3.0,"['F47H', 'L84H', 'W5Y']"
35.0,5.0,"['P28W', 'T71W', 'G89T', 'I26K', 'O46V']",5.0,"['N8D', 'J15A', 'U93Q', 'X11C', 'R87V']",3.0,"['P28W', 'T71W', 'G89T']",2.0,"['I26K', 'O46V']"
36.0,5.0,"['N8D', 'J15A', 'U93Q', 'X11C', 'R87V']",6.0,"['C67T', 'I76I', 'V9U', 'X15C', 'J6R', 'Y25B']",5.0,"['N8D', 'J15A', 'U93Q', 'X11C', 'R87V']",0.0,[]
37.0,6.0,"['C67T', 'I76I', 'V9U', 'X15C', 'J6R', 'Y25B']",5.0,"['D32M', 'D90W', 'Z32O', 'A14H', 'X96P']",6.0,"['C67T', 'I76I', 'V9U', 'X15C', 'J6R', 'Y25B']",0.0,[]
38.0,5.0,"['D32M', 'D90W', 'Z32O', 'A14H', 'X96P']",6.0,"['A43H', 'B81K', 'Z64F', 'Z84A', 'S54S', 'W23Y']",6.0,"['D32M', 'D90W', 'Z32O', 'A14H', 'X96P', 'A43H']",0.0,[]
39.0,5.0,"['B81K', 'Z64F', 'Z84A', 'S54S', 'W23Y']",7.0,"['H86U', 'Y31R', 'V57Q', 'X5V', 'T90J', 'X41D', 'O43R']",4.0,"['B81K', 'Z64F', 'Z84A', 'S54S']",1.0,['W23Y']
40.0,7.0,"['H86U', 'Y31R', 'V57Q', 'X5V', 'T90J', 'X41D', 'O43R']",6.0,"['G51F', 'A26D', 'D88J', 'W38G', 'K63K', 'Y1S']",3.0,"['H86U', 'Y31R', 'V57Q']",4.0,"['X5V', 'T90J', 'X41D', 'O43R']"
41.0,6.0,"['G51F', 'A26D', 'D88J', 'W38G', 'K63K', 'Y1S']",9.0,"['S39A', 'Y77J', 'D45P', 'S32L', 'B18H', 'J21A', 'P96U', 'C58N', 'V99G']",6.0,"['G51F', 'A26D', 'D88J', 'W38G', 'K63K', 'Y1S']",0.0,[]
42.0,9.0,"['S39A', 'Y77J', 'D45P', 'S32L', 'B18H', 'J21A', 'P96U', 'C58N', 'V99G']",7.0,"['X76J', 'P64Y', 'J60W', 'K87O', 'L45Q', 'D16K', 'U9Z']",5.0,"['S39A', 'Y77J', 'D45P', 'S32L', 'B18H']",4.0,"['J21A', 'P96U', 'C58N', 'V99G']"
43.0,7.0,"['X76J', 'P64Y', 'J60W', 'K87O', 'L45Q', 'D16K', 'U9Z']",6.0,"['K27Q', 'L1Q', 'F77X', 'U62L', 'B43N', 'L96B']",5.0,"['X76J', 'P64Y', 'J60W', 'K87O', 'L45Q']",2.0,"['D16K', 'U9Z']"
44.0,6.0,"['K27Q', 'L1Q', 'F77X', 'U62L', 'B43N', 'L96B']",8.0,"['J3Q', 'U92D', 'P43D', 'N41O', 'U23H', 'K77Y', 'T31L', 'A98A']",5.0,"['K27Q', 'L1Q', 'F77X', 'U62L', 'B43N']",1.0,['L96B']
45.0,8.0,"['J3Q', 'U92D', 'P43D', 'N41O', 'U23H', 'K77Y', 'T31L', 'A98A']",9.0,"['J54P', 'U7W', 'H99V', 'H69B', 'O73Y', 'M6M', 'X16D', 'R14F', 'A57O']",6.0,"['J3Q', 'U92D', 'P43D', 'N41O', 'U23H', 'K77Y']",2.0,"['T31L', 'A98A']"
46.0,9.0,"['J54P', 'U7W', 'H99V', 'H69B', 'O73Y', 'M6M', 'X16D', 'R14F', 'A57O']",6.0,"['K3D', 'B38H', 'U33R', 'F71E', 'I6J', 'K11O']",6.0,"['J54P', 'U7W', 'H99V', 'H69B', 'O73Y', 'M6M']",3.0,"['X16D', 'R14F', 'A57O']"
47.0,6.0,"['K3D', 'B38H', 'U33R', 'F71E', 'I6J', 'K11O']",9.0,"['S77Q', 'Q49C', 'G52D', 'W50G', 'S97O', 'K3U', 'M100Q', 'B58O', 'M20I']",5.0,"['K3D', 'B38H', 'U33R', 'F71E', 'I6J']",1.0,['K11O']
48.0,9.0,"['S77Q', 'Q49C', 'G52D', 'W50G', 'S97O', 'K3U', 'M100Q', 'B58O', 'M20I']",6.0,"['K91E', 'P78R', 'C99N', 'R17Z', 'V79M', 'Z12X']",5.0,"['S77Q', 'Q49C', 'G52D', 'W50G', 'S97O']",4.0,"['K3U', 'M100Q', 'B58O', 'M20I']"
49.0,6.0,"['K91E', 'P78R', 'C99N', 'R17Z', 'V79M', 'Z12X']",7.0,"['C69W', 'C80D', 'J53H', 'F63K', 'S18P', 'H10F', 'H16D']",6.0,"['K91E', 'P78R', 'C99N', 'R17Z', 'V79M', 'Z12X']",0.0,[]
50.0,7.0,"['C69W', 'C80D', 'J53H', 'F63K', 'S18P', 'H10F', 'H16D']",6.0,"['Q7L', 'D35H', 'P70B', 'A11D', 'I86G', 'Q37L']",4.0,"['C69W', 'C80D', 'J53H', 'F63K']",3.0,"['S18P', 'H10F', 'H16D']"
51.0,6.0,"['Q7L', 'D35H', 'P70B', 'A11D', 'I86G', 'Q37L']",7.0,"['S92D', 'P37D', 'E71S', 'M69X', 'F25P', 'G43C', 'T48S']",5.0,"['Q7L', 'D35H', 'P70B', 'A11D', 'I86G']",1.0,['Q37L']
52.0,7.0,"['S92D', 'P37D', 'E71S', 'M69X', 'F25P', 'G43C', 'T48S']",7.0,"['C74L', 'F44W', 'M82Z', 'N51H', 'H23G', 'H88M', 'E13K']",4.0,"['S92D', 'P37D', 'E71S', 'M69X']",3.0,"['F25P', 'G43C', 'T48S']"
53.0,7.0,"['C74L', 'F44W', 'M82Z', 'N51H', 'H23G', 'H88M', 'E13K']",5.0,"['U86Z', 'R54O', 'N19A', 'R2K', 'I48O']",3.0,"['C74L', 'F44W', 'M82Z']",4.0,"['N51H', 'H23G', 'H88M', 'E13K']"
54.0,5.0,"['U86Z', 'R54O', 'N19A', 'R2K', 'I48O']",6.0,"['G81I', 'R77Y', 'L54O', 'X19P', 'D79L', 'B7K']",6.0,"['U86Z', 'R54O', 'N19A', 'R2K', 'I48O', 'G81I']",0.0,[]
55.0,5.0,"['R77Y', 'L54O', 'X19P', 'D79L', 'B7K']",7.0,"['D33G', 'J48N', 'L91Z', 'G38Z', 'T51U', 'H74R', 'T38P']",4.0,"['R77Y', 'L54O', 'X19P', 'D79L']",1.0,['B7K']
56.0,7.0,"['D33G', 'J48N', 'L91Z', 'G38Z', 'T51U', 'H74R', 'T38P']",8.0,"['U13J', 'L55O', 'J19S', 'Q47T', 'Q29Q', 'A86C', 'T29Y', 'H3Z']",3.0,"['D33G', 'J48N', 'L91Z']",4.0,"['G38Z', 'T51U', 'H74R', 'T38P']"
57.0,8.0,"['U13J', 'L55O', 'J19S', 'Q47T', 'Q29Q', 'A86C', 'T29Y', 'H3Z']",5.0,"['X53D', 'W36G', 'D64W', 'F5S', 'U84Z']",4.0,"['U13J', 'L55O', 'J19S', 'Q47T']",4.0,"['Q29Q', 'A86C', 'T29Y', 'H3Z']"
58.0,5.0,"['X53D', 'W36G', 'D64W', 'F5S', 'U84Z']",9.0,"['Q95X', 'H69X', 'O7N', 'B49S', 'Y13A', 'L33D', 'Q72B', 'F40D', 'A59K']",4.0,"['X53D', 'W36G', 'D64W', 'F5S']",1.0,['U84Z']
59.0,9.0,"['Q95X', 'H69X', 'O7N', 'B49S', 'Y13A', 'L33D', 'Q72B', 'F40D', 'A59K']",7.0,"['S24S', 'U84S', 'J36P', 'D15Y', 'F5D', 'I59B', 'J58P']",6.0,"['Q95X', 'H69X', 'O7N', 'B49S', 'Y13A', 'L33D']",3.0,"['Q72B', 'F40D', 'A59K']"
60.0,7.0,"['S24S', 'U84S', 'J36P', 'D15Y', 'F5D', 'I59B', 'J58P']",7.0,"['U17I', 'V80S', 'V96Q', 'I3N', 'O99A', 'Y50U', 'A82B']",5.0,"['S24S', 'U84S', 'J36P', 'D15Y', 'F5D']",2.0,"['I59B', 'J58P']"
61.0,7.0,"['U17I', 'V80S', 'V96Q', 'I3N', 'O99A', 'Y50U', 'A82B']",8.0,"['Q84L', 'Z9K', 'O46X', 'E92P', 'N29D', 'Z28X', 'U33B', 'F58W']",4.0,"['U17I', 'V80S', 'V96Q', 'I3N']",3.0,"['O99A', 'Y50U', 'A82B']"
62.0,8.0,"['Q84L', 'Z9K', 'O46X', 'E92P', 'N29D', 'Z28X', 'U33B', 'F58W']",5.0,"['N6T', 'H59W', 'T64L', 'V82F', 'D49K']",6.0,"['Q84L', 'Z9K', 'O46X', 'E92P', 'N29D', 'Z28X']",2.0,"['U33B', 'F58W']"
63.0,5.0,"['N6T', 'H59W', 'T64L', 'V82F', 'D49K']",7.0,"['L39X', 'I13T', 'B51O', 'J13L', 'C100R', 'R93F', 'K87L']",5.0,"['N6T', 'H59W', 'T64L', 'V82F', 'D49K']",0.0,[]
64.0,7.0,"['L39X', 'I13T', 'B51O', 'J13L', 'C100R', 'R93F', 'K87L']",5.0,"['Q10T', 'W60C', 'Q43K', 'T44L', 'U93N']",5.0,"['L39X', 'I13T', 'B51O', 'J13L', 'C100R']",2.0,"['R93F', 'K87L']"
65.0,5.0,"['Q10T', 'W60C', 'Q43K', 'T44L', 'U93N']",6.0,"['F18A', 'J21V', 'Y33K', 'H68W', 'Z86D', 'P13H']",6.0,"['Q10T', 'W60C', 'Q43K', 'T44L', 'U93N', 'F18A']",0.0,[]
66.0,5.0,"['J21V', 'Y33K', 'H68W', 'Z86D', 'P13H']",7.0,"['B38S', 'M44C', 'J27F', 'N97T', 'D72Z', 'D99I', 'T28E']",6.0,"['J21V', 'Y33K', 'H68W', 'Z86D', 'P13H', 'B38S']",0.0,[]
67.0,6.0,"['M44C', 'J27F', 'N97T', 'D72Z', 'D99I', 'T28E']",7.0,"['V11C', 'Q12K', 'P10K', 'V19W', 'B5A', 'D36M', 'Q98L']",4.0,"['M44C', 'J27F', 'N97T', 'D72Z']",2.0,"['D99I', 'T28E']"
68.0,7.0,"['V11C', 'Q12K', 'P10K', 'V19W', 'B5A', 'D36M', 'Q98L']",5.0,"['G18T', 'R47N', 'C36U', 'D43D', 'V36K']",6.0,"['V11C', 'Q12K', 'P10K', 'V19W', 'B5A', 'D36M']",1.0,['Q98L']
69.0,5.0,"['G18T', 'R47N', 'C36U', 'D43D', 'V36K']",7.0,"['V84I', 'F62M', 'P99K', 'O69U', 'F12B', 'B59B', 'N57R']",5.0,"['G18T', 'R47N', 'C36U', 'D43D', 'V36K']",0.0,[]
70.0,7.0,"['V84I', 'F62M', 'P99K', 'O69U', 'F12B', 'B59B', 'N57R']",8.0,"['G30H', 'Q99R', 'Z15Z', 'K4I', 'X2R', 'Q42T', 'H65R', 'Y38D']",5.0,"['V84I', 'F62M', 'P99K', 'O69U', 'F12B']",2.0,"['B59B', 'N57R']"
71.0,8.0,"['G30H', 'Q99R', 'Z15Z', 'K4I', 'X2R', 'Q42T', 'H65R', 'Y38D']",9.0,"['S21A', 'U99I', 'B17I', 'E50L', 'M75L', 'Z3Z', 'V7L', 'O6I', 'C47U']",5.0,"['G30H', 'Q99R', 'Z15Z', 'K4I', 'X2R']",3.0,"['Q42T', 'H65R', 'Y38D']"
72.0,9.0,"['S21A', 'U99I', 'B17I', 'E50L', 'M75L', 'Z3Z', 'V7L', 'O6I', 'C47U']",7.0,"['W28I', 'V19A', 'X67P', 'S82V', 'H75M', 'Z52W', 'D80P']",5.0,"['S21A', 'U99I', 'B17I', 'E50L', 'M75L']",4.0,"['Z3Z', 'V7L', 'O6I', 'C47U']"
73.0,7.0,"['W28I', 'V19A', 'X67P', 'S82V', 'H75M', 'Z52W', 'D80P']",7.0,"['T2Q', 'O69J', 'H50V', 'E9C', 'S62V', 'D43R', 'K67V']",6.0,"['W28I', 'V19A', 'X67P', 'S82V', 'H75M', 'Z52W']",1.0,['D80P']
74.0,7.0,"['T2Q', 'O69J', 'H50V', 'E9C', 'S62V', 'D43R', 'K67V']",8.0,"['I43R', 'Z14Z', 'Y46L', 'Y2F', 'V58G', 'Q83J', 'H26O', 'E69M']",3.0,"['T2Q', 'O69J', 'H50V']",4.0,"['E9C', 'S62V', 'D43R', 'K67V']"
75.0,8.0,"['I43R', 'Z14Z', 'Y46L', 'Y2F', 'V58G', 'Q83J', 'H26O', 'E69M']",6.0,"['V56Y', 'T54L', 'M44N', 'Z49L', 'N55W', 'W61X']",5.0,"['I43R', 'Z14Z', 'Y46L', 'Y2F', 'V58G']",3.0,"['Q83J', 'H26O', 'E69M']"
76.0,6.0,"['V56Y', 'T54L', 'M44N', 'Z49L', 'N55W', 'W61X']",6.0,"['O99D', 'N10B', 'U25H', 'S57W', 'Y44E', 'K86C']",4.0,"['V56Y', 'T54L', 'M44N', 'Z49L']",2.0,"['N55W', 'W61X']"
77.0,6.0,"['O99D', 'N10B', 'U25H', 'S57W', 'Y44E', 'K86C']",5.0,"['Y46A', 'R3D', 'N21R', 'X81Z', 'J89T']",6.0,"['O99D', 'N10B', 'U25H', 'S57W', 'Y44E', 'K86C']",0.0,[]
78.0,5.0,"['Y46A', 'R3D', 'N21R', 'X81Z', 'J89T']",6.0,"['G48I', 'J96G', 'D61G', 'F73W', 'N1B', 'L89H']",5.0,"['Y46A', 'R3D', 'N21R', 'X81Z', 'J89T']",0.0,[]
79.0,6.0,"['G48I', 'J96G', 'D61G', 'F73W', 'N1B', 'L89H']",7.0,"['Q76D', 'P81M', 'O77M', 'Q2Q', 'B8C', 'F94B', 'Q30Z']",6.0,"['G48I', 'J96G', 'D61G', 'F73W', 'N1B', 'L89H']",0.0,[]
80.0,7.0,"['Q76D', 'P81M', 'O77M', 'Q2Q', 'B8C', 'F94B', 'Q30Z']",6.0,"['I68Z', 'O68K', 'U65R', 'Q38S', 'L64Q', 'G71P']",5.0,"['Q76D', 'P81M', 'O77M', 'Q2Q', 'B8C']",2.0,"['F94B', 'Q30Z']"
81.0,6.0,"['I68Z', 'O68K', 'U65R', 'Q38S', 'L64Q', 'G71P']",7.0,"['J88U', 'F82R', 'W76W', 'Q91J', 'K25Q', 'U83I', 'U10I']",4.0,"['I68Z', 'O68K', 'U65R', 'Q38S']",2.0,"['L64Q', 'G71P']"
82.0,7.0,"['J88U', 'F82R', 'W76W', 'Q91J', 'K25Q', 'U83I', 'U10I']",8.0,"['Y22R', 'H8Z', 'H80E', 'D24A', 'C78D', 'O64X', 'Y20B', 'L28A']",5.0,"['J88U', 'F82R', 'W76W', 'Q91J', 'K25Q']",2.0,"['U83I', 'U10I']"
83.0,8.0,"['Y22R', 'H8Z', 'H80E', 'D24A', 'C78D', 'O64X', 'Y20B', 'L28A']",7.0,"['D43P', 'P40N', 'P72Z', 'Q50L', 'X45F', 'P58P', 'T26V']",6.0,"['Y22R', 'H8Z', 'H80E', 'D24A', 'C78D', 'O64X']",2.0,"['Y20B', 'L28A']"
84.0,7.0,"['D43P', 'P40N', 'P72Z', 'Q50L', 'X45F', 'P58P', 'T26V']",6.0,"['Q79E', 'A80D', 'F25J', 'M97Y', 'N52M', 'A16R']",5.0,"['D43P', 'P40N', 'P72Z', 'Q50L', 'X45F']",2.0,"['P58P', 'T26V']"
85.0,6.0,"['Q79E', 'A80D', 'F25J', 'M97Y', 'N52M', 'A16R']",6.0,"['F97Z', 'M2X', 'V1H', 'J68L', 'W35V', 'S85V']",3.0,"['Q79E', 'A80D', 'F25J']",3.0,"['M97Y', 'N52M', 'A16R']"
86.0,6.0,"['F97Z', 'M2X', 'V1H', 'J68L', 'W35V', 'S85V']",7.0,"['N26Q', 'X70A', 'C78Q', 'Y54J', 'S44H', 'U78U', 'E55R']",4.0,"['F97Z', 'M2X', 'V1H', 'J68L']",2.0,"['W35V', 'S85V']"
87.0,7.0,"['N26Q', 'X70A', 'C78Q', 'Y54J', 'S44H', 'U78U', 'E55R']",7.0,"['M68X', 'Y33Z', 'X43Q', 'V85B', 'L2C', 'O53C', 'U43S']",4.0,"['N26Q', 'X70A', 'C78Q', 'Y54J']",3.0,"['S44H', 'U78U', 'E55R']"
88.0,7.0,"['M68X', 'Y33Z', 'X43Q', 'V85B', 'L2C', 'O53C', 'U43S']",6.0,"['M34U', 'Y96B', 'B90D', 'I67Z', 'C100B', 'Y93I']",5.0,"['M68X', 'Y33Z', 'X43Q', 'V85B', 'L2C']",2.0,"['O53C', 'U43S']"
89.0,6.0,"['M34U', 'Y96B', 'B90D', 'I67Z', 'C100B', 'Y93I']",5.0,"['O83D', 'T5V', 'M12T', 'S60G', 'C72J']",3.0,"['M34U', 'Y96B', 'B90D']",3.0,"['I67Z', 'C100B', 'Y93I']"
90.0,5.0,"['O83D', 'T5V', 'M12T', 'S60G', 'C72J']",7.0,"['P70M', 'Q19G', 'O87L', 'U3D', 'V46V', 'M50B', 'O46I']",6.0,"['O83D', 'T5V', 'M12T', 'S60G', 'C72J', 'P70M']",0.0,[]
91.0,6.0,"['Q19G', 'O87L', 'U3D', 'V46V', 'M50B', 'O46I']",9.0,"['N75P', 'C92H', 'U58I', 'Q4Q', 'I60I', 'R61M', 'U86I', 'J20U', 'P98U']",6.0,"['Q19G', 'O87L', 'U3D', 'V46V', 'M50B', 'O46I']",0.0,[]
92.0,9.0,"['N75P', 'C92H', 'U58I', 'Q4Q', 'I60I', 'R61M', 'U86I', 'J20U', 'P98U']",6.0,"['T47G', 'X13A', 'A98I', 'N80M', 'Z38W', 'I42A']",6.0,"['N75P', 'C92H', 'U58I', 'Q4Q', 'I60I', 'R61M']",3.0,"['U86I', 'J20U', 'P98U']"
