Semana,Longitud cola,Cola,Arribos,Autos,Atenciones,Atendidos,Despachos,Despachados
11.0,7.0,"['A95T', 'Y84Z', 'N53O', 'G34I', 'M54C', 'U12B', 'E39N']",7.0,"['K60L', 'H29U', 'W59O', 'A65X', 'C27A', 'L61B', 'M27P']",6.0,"['A95T', 'Y84Z', 'N53O', 'G34I', 'M54C', 'U12B']",1.0,['E39N']
12.0,7.0,"['K60L', 'H29U', 'W59O', 'A65X', 'C27A', 'L61B', 'M27P']",8.0,"['M77S', 'M70H', 'J17M', 'W22W', 'E35Y', 'X56Z', 'H96C', 'B70X']",4.0,"['K60L', 'H29U', 'W59O', 'A65X']",3.0,"['C27A', 'L61B', 'M27P']"
13.0,8.0,"['M77S', 'M70H', 'J17M', 'W22W', 'E35Y', 'X56Z', 'H96C', 'B70X']",9.0,"['G38W', 'B70L', 'P63C', 'U42C', 'L43C', 'E59U', 'S41B', 'V52Q', 'H50J']",5.0,"['M77S', 'M70H', 'J17M', 'W22W', 'E35Y']",3.0,"['X56Z', 'H96C', 'B70X']"
14.0,9.0,"['G38W', 'B70L', 'P63C', 'U42C', 'L43C', 'E59U', 'S41B', 'V52Q', 'H50J']",6.0,"['X87J', 'Q27P', 'E58A', 'J65B', 'B31D', 'I80X']",6.0,"['G38W', 'B70L', 'P63C', 'U42C', 'L43C', 'E59U']",3.0,"['S41B', 'V52Q', 'H50J']"
15.0,6.0,"['X87J', 'Q27P', 'E58A', 'J65B', 'B31D', 'I80X']",7.0,"['B57V', 'X49W', 'Y15R', 'H86U', 'G40V', 'F78W', 'K69V']",5.0,"['X87J', 'Q27P', 'E58A', 'J65B', 'B31D']",1.0,['I80X']
16.0,7.0,"['B57V', 'X49W', 'Y15R', 'H86U', 'G40V', 'F78W', 'K69V']",8.0,"['N34M', 'Q16L', 'A74K', 'U72A', 'N59Q', 'Z33Z', 'D12H', 'A68A']",4.0,"['B57V', 'X49W', 'Y15R', 'H86U']",3.0,"['G40V', 'F78W', 'K69V']"
17.0,8.0,"['N34M', 'Q16L', 'A74K', 'U72A', 'N59Q', 'Z33Z', 'D12H', 'A68A']",5.0,"['G14I', 'B25M', 'B97L', 'G78R', 'R85H']",6.0,"['N34M', 'Q16L', 'A74K', 'U72A', 'N59Q', 'Z33Z']",2.0,"['D12H', 'A68A']"
18.0,5.0,"['G14I', 'B25M', 'B97L', 'G78R', 'R85H']",7.0,"['Z23D', 'Z26I', 'M58B', 'V85M', 'Z8D', 'Z46F', 'B46K']",6.0,"['G14I', 'B25M', 'B97L', 'G78R', 'R85H', 'Z23D']",0.0,[]
19.0,6.0,"['Z26I', 'M58B', 'V85M', 'Z8D', 'Z46F', 'B46K']",8.0,"['Z63E', 'M20N', 'M44O', 'R62W', 'K70O', 'X28I', 'P63S', 'X43X']",3.0,"['Z26I', 'M58B', 'V85M']",3.0,"['Z8D', 'Z46F', 'B46K']"
20.0,8.0,"['Z63E', 'M20N', 'M44O', 'R62W', 'K70O', 'X28I', 'P63S', 'X43X']",8.0,"['A59Z', 'K23V', 'T52K', 'M90F', 'T18J', 'A48I', 'R9W', 'F57M']",3.0,"['Z63E', 'M20N', 'M44O']",5.0,"['R62W', 'K70O', 'X28I', 'P63S', 'X43X']"
21.0,8.0,"['A59Z', 'K23V', 'T52K', 'M90F', 'T18J', 'A48I', 'R9W', 'F57M']",9.0,"['K18V', 'O85C', 'Z55K', 'V31P', 'S22Q', 'T39R', 'S12S', 'A72V', 'M97U']",3.0,"['A59Z', 'K23V', 'T52K']",5.0,"['M90F', 'T18J', 'A48I', 'R9W', 'F57M']"
22.0,9.0,"['K18V', 'O85C', 'Z55K', 'V31P', 'S22Q', 'T39R', 'S12S', 'A72V', 'M97U']",8.0,"['E15H', 'C68S', 'C44Q', 'L85D', 'Q47F', 'F80E', 'Q87Y', 'M9U']",4.0,"['K18V', 'O85C', 'Z55K', 'V31P']",5.0,"['S22Q', 'T39R', 'S12S', 'A72V', 'M97U']"
23.0,8.0,"['E15H', 'C68S', 'C44Q', 'L85D', 'Q47F', 'F80E', 'Q87Y', 'M9U']",6.0,"['Z13Q', 'N61N', 'N87J', 'O20R', 'Y33E', 'P59O']",5.0,"['E15H', 'C68S', 'C44Q', 'L85D', 'Q47F']",3.0,"['F80E', 'Q87Y', 'M9U']"
24.0,6.0,"['Z13Q', 'N61N', 'N87J', 'O20R', 'Y33E', 'P59O']",7.0,"['B21A', 'A45Z', 'F50E', 'M64H', 'M61N', 'G74J', 'T32E']",4.0,"['Z13Q', 'N61N', 'N87J', 'O20R']",2.0,"['Y33E', 'P59O']"
25.0,7.0,"['B21A', 'A45Z', 'F50E', 'M64H', 'M61N', 'G74J', 'T32E']",7.0,"['K79U', 'F6E', 'F83U', 'F71H', 'L53N', 'B62F', 'P3G']",3.0,"['B21A', 'A45Z', 'F50E']",4.0,"['M64H', 'M61N', 'G74J', 'T32E']"
26.0,7.0,"['K79U', 'F6E', 'F83U', 'F71H', 'L53N', 'B62F', 'P3G']",6.0,"['E75U', 'Y26D', 'P63W', 'E100L', 'T98G', 'Z37O']",5.0,"['K79U', 'F6E', 'F83U', 'F71H', 'L53N']",2.0,"['B62F', 'P3G']"
27.0,6.0,"['E75U', 'Y26D', 'P63W', 'E100L', 'T98G', 'Z37O']",9.0,"['I96U', 'L95M', 'L81A', 'D53X', 'W51F', 'Z28G', 'E98R', 'S10M', 'I89Y']",6.0,"['E75U', 'Y26D', 'P63W', 'E100L', 'T98G', 'Z37O']",0.0,[]
28.0,9.0,"['I96U', 'L95M', 'L81A', 'D53X', 'W51F', 'Z28G', 'E98R', 'S10M', 'I89Y']",6.0,"['C48O', 'V31K', 'W72E', 'J67M', 'D33P', 'H89E']",4.0,"['I96U', 'L95M', 'L81A', 'D53X']",5.0,"['W51F', 'Z28G', 'E98R', 'S10M', 'I89Y']"
29.0,6.0,"['C48O', 'V31K', 'W72E', 'J67M', 'D33P', 'H89E']",8.0,"['H52Y', 'Q41A', 'C31O', 'Y69N', 'X79E', 'H48A', 'D29R', 'P70O']",3.0,"['C48O', 'V31K', 'W72E']",3.0,"['J67M', 'D33P', 'H89E']"
30.0,8.0,"['H52Y', 'Q41A', 'C31O', 'Y69N', 'X79E', 'H48A', 'D29R', 'P70O']",5.0,"['H90A', 'P6E', 'T91I', 'S67T', 'H40D']",3.0,"['H52Y', 'Q41A', 'C31O']",5.0,"['Y69N', 'X79E', 'H48A', 'D29R', 'P70O']"
31.0,5.0,"['H90A', 'P6E', 'T91I', 'S67T', 'H40D']",7.0,"['T95B', 'S31K', 'Z61F', 'W1N', 'P99D', 'Y75Q', 'M79M']",6.0,"['H90A', 'P6E', 'T91I', 'S67T', 'H40D', 'T95B']",0.0,[]
32.0,6.0,"['S31K', 'Z61F', 'W1N', 'P99D', 'Y75Q', 'M79M']",6.0,"['U20D', 'F41Y', 'P12W', 'U54C', 'I67H', 'Q9N']",5.0,"['S31K', 'Z61F', 'W1N', 'P99D', 'Y75Q']",1.0,['M79M']
33.0,6.0,"['U20D', 'F41Y', 'P12W', 'U54C', 'I67H', 'Q9N']",9.0,"['S32L', 'S96L', 'T67L', 'S14R', 'N28Q', 'T57A', 'C19N', 'W57S', 'A40T']",5.0,"['U20D', 'F41Y', 'P12W', 'U54C', 'I67H']",1.0,['Q9N']
34.0,9.0,"['S32L', 'S96L', 'T67L', 'S14R', 'N28Q', 'T57A', 'C19N', 'W57S', 'A40T']",8.0,"['Q36J', 'R74H', 'G83K', 'G79O', 'I50C', 'H16A', 'H11E', 'X11I']",5.0,"['S32L', 'S96L', 'T67L', 'S14R', 'N28Q']",4.0,"['T57A', 'C19N', 'W57S', 'A40T']"
35.0,8.0,"['Q36J', 'R74H', 'G83K', 'G79O', 'I50C', 'H16A', 'H11E', 'X11I']",8.0,"['Q32O', 'T31K', 'A41G', 'P24F', 'O98I', 'X45G', 'I31G', 'E19B']",6.0,"['Q36J', 'R74H', 'G83K', 'G79O', 'I50C', 'H16A']",2.0,"['H11E', 'X11I']"
36.0,8.0,"['Q32O', 'T31K', 'A41G', 'P24F', 'O98I', 'X45G', 'I31G', 'E19B']",7.0,"['G11J', 'B58U', 'F93H', 'P79G', 'K33J', 'D1V', 'H90I']",5.0,"['Q32O', 'T31K', 'A41G', 'P24F', 'O98I']",3.0,"['X45G', 'I31G', 'E19B']"
37.0,7.0,"['G11J', 'B58U', 'F93H', 'P79G', 'K33J', 'D1V', 'H90I']",6.0,"['F78T', 'R68Q', 'U68O', 'S56U', 'M78V', 'P27G']",5.0,"['G11J', 'B58U', 'F93H', 'P79G', 'K33J']",2.0,"['D1V', 'H90I']"
38.0,6.0,"['F78T', 'R68Q', 'U68O', 'S56U', 'M78V', 'P27G']",7.0,"['T85M', 'Z84D', 'I16M', 'R11H', 'V2B', 'P61V', 'T61Z']",6.0,"['F78T', 'R68Q', 'U68O', 'S56U', 'M78V', 'P27G']",0.0,[]
39.0,7.0,"['T85M', 'Z84D', 'I16M', 'R11H', 'V2B', 'P61V', 'T61Z']",7.0,"['Q41B', 'K58S', 'L54H', 'L84G', 'V92O', 'R42G', 'I2R']",4.0,"['T85M', 'Z84D', 'I16M', 'R11H']",3.0,"['V2B', 'P61V', 'T61Z']"
40.0,7.0,"['Q41B', 'K58S', 'L54H', 'L84G', 'V92O', 'R42G', 'I2R']",7.0,"['Z95Z', 'U27X', 'C21L', 'J35V', 'D30U', 'W6Q', 'J18O']",5.0,"['Q41B', 'K58S', 'L54H', 'L84G', 'V92O']",2.0,"['R42G', 'I2R']"
41.0,7.0,"['Z95Z', 'U27X', 'C21L', 'J35V', 'D30U', 'W6Q', 'J18O']",6.0,"['O76S', 'R61K', 'H15M', 'K100Q', 'U74A', 'B81C']",5.0,"['Z95Z', 'U27X', 'C21L', 'J35V', 'D30U']",2.0,"['W6Q', 'J18O']"
42.0,6.0,"['O76S', 'R61K', 'H15M', 'K100Q', 'U74A', 'B81C']",6.0,"['S12V', 'E87O', 'J16H', 'Q21K', 'K25I', 'L98W']",4.0,"['O76S', 'R61K', 'H15M', 'K100Q']",2.0,"['U74A', 'B81C']"
43.0,6.0,"['S12V', 'E87O', 'J16H', 'Q21K', 'K25I', 'L98W']",8.0,"['G51T', 'T67Q', 'C1L', 'D59V', 'E86D', 'P10Y', 'K84R', 'Q86D']",6.0,"['S12V', 'E87O', 'J16H', 'Q21K', 'K25I', 'L98W']",0.0,[]
44.0,8.0,"['G51T', 'T67Q', 'C1L', 'D59V', 'E86D', 'P10Y', 'K84R', 'Q86D']",7.0,"['Z72Z', 'T61R', 'C53Q', 'P56Y', 'I14I', 'W90V', 'T28D']",5.0,"['G51T', 'T67Q', 'C1L', 'D59V', 'E86D']",3.0,"['P10Y', 'K84R', 'Q86D']"
45.0,7.0,"['Z72Z', 'T61R', 'C53Q', 'P56Y', 'I14I', 'W90V', 'T28D']",7.0,"['G4B', 'D78K', 'O35F', 'R77R', 'P77F', 'S85L', 'Y77T']",3.0,"['Z72Z', 'T61R', 'C53Q']",4.0,"['P56Y', 'I14I', 'W90V', 'T28D']"
46.0,7.0,"['G4B', 'D78K', 'O35F', 'R77R', 'P77F', 'S85L', 'Y77T']",6.0,"['P39P', 'P34X', 'V96P', 'Q9L', 'N45W', 'A43T']",3.0,"['G4B', 'D78K', 'O35F']",4.0,"['R77R', 'P77F', 'S85L', 'Y77T']"
47.0,6.0,"['P39P', 'P34X', 'V96P', 'Q9L', 'N45W', 'A43T']",9.0,"['O73J', 'R39K', 'H74O', 'X15P', 'E24A', 'K51S', 'Q25T', 'R69Y', 'M6V']",4.0,"['P39P', 'P34X', 'V96P', 'Q9L']",2.0,"['N45W', 'A43T']"
48.0,9.0,"['O73J', 'R39K', 'H74O', 'X15P', 'E24A', 'K51S', 'Q25T', 'R69Y', 'M6V']",6.0,"['N59P', 'V33C', 'S8U', 'W56N', 'W21V', 'M99C']",6.0,"['O73J', 'R39K', 'H74O', 'X15P', 'E24A', 'K51S']",3.0,"['Q25T', 'R69Y', 'M6V']"
49.0,6.0,"['N59P', 'V33C', 'S8U', 'W56N', 'W21V', 'M99C']",7.0,"['H2S', 'B60K', 'U79L', 'V35J', 'E26Z', 'A93L', 'J62Z']",5.0,"['N59P', 'V33C', 'S8U', 'W56N', 'W21V']",1.0,['M99C']
50.0,7.0,"['H2S', 'B60K', 'U79L', 'V35J', 'E26Z', 'A93L', 'J62Z']",5.0,"['F24I', 'K22V', 'J93A', 'B85Z', 'H93J']",5.0,"['H2S', 'B60K', 'U79L', 'V35J', 'E26Z']",2.0,"['A93L', 'J62Z']"
51.0,5.0,"['F24I', 'K22V', 'J93A', 'B85Z', 'H93J']",6.0,"['A14C', 'V79R', 'R80C', 'D54O', 'C17J', 'J71S']",4.0,"['F24I', 'K22V', 'J93A', 'B85Z']",1.0,['H93J']
52.0,6.0,"['A14C', 'V79R', 'R80C', 'D54O', 'C17J', 'J71S']",6.0,"['E27P', 'Y78N', 'D73E', 'F24G', 'Q79X', 'A56E']",6.0,"['A14C', 'V79R', 'R80C', 'D54O', 'C17J', 'J71S']",0.0,[]
53.0,6.0,"['E27P', 'Y78N', 'D73E', 'F24G', 'Q79X', 'A56E']",8.0,"['H10U', 'C9X', 'C3E', 'C24K', 'O14Z', 'V88J', 'C75T', 'I57P']",4.0,"['E27P', 'Y78N', 'D73E', 'F24G']",2.0,"['Q79X', 'A56E']"
54.0,8.0,"['H10U', 'C9X', 'C3E', 'C24K', 'O14Z', 'V88J', 'C75T', 'I57P']",5.0,"['X36F', 'M92J', 'G21I', 'Q98U', 'N19J']",4.0,"['H10U', 'C9X', 'C3E', 'C24K']",4.0,"['O14Z', 'V88J', 'C75T', 'I57P']"
55.0,5.0,"['X36F', 'M92J', 'G21I', 'Q98U', 'N19J']",5.0,"['H61O', 'M24N', 'Y22X', 'A42Q', 'W55Z']",5.0,"['X36F', 'M92J', 'G21I', 'Q98U', 'N19J']",0.0,[]
56.0,5.0,"['H61O', 'M24N', 'Y22X', 'A42Q', 'W55Z']",7.0,"['U55X', 'V92Y', 'N57W', 'K73H', 'T36S', 'L36N', 'N90L']",4.0,"['H61O', 'M24N', 'Y22X', 'A42Q']",1.0,['W55Z']
57.0,7.0,"['U55X', 'V92Y', 'N57W', 'K73H', 'T36S', 'L36N', 'N90L']",7.0,"['C57D', 'A65I', 'J8P', 'M31W', 'K13W', 'L46Q', 'J10W']",6.0,"['U55X', 'V92Y', 'N57W', 'K73H', 'T36S', 'L36N']",1.0,['N90L']
58.0,7.0,"['C57D', 'A65I', 'J8P', 'M31W', 'K13W', 'L46Q', 'J10W']",6.0,"['T93N', 'D58K', 'V40O', 'W13M', 'W79B', 'G54Y']",3.0,"['C57D', 'A65I', 'J8P']",4.0,"['M31W', 'K13W', 'L46Q', 'J10W']"
59.0,6.0,"['T93N', 'D58K', 'V40O', 'W13M', 'W79B', 'G54Y']",6.0,"['E51E', 'K82Q', 'K22E', 'F99J', 'R72H', 'T37S']",5.0,"['T93N', 'D58K', 'V40O', 'W13M', 'W79B']",1.0,['G54Y']
60.0,6.0,"['E51E', 'K82Q', 'K22E', 'F99J', 'R72H', 'T37S']",6.0,"['P74L', 'P17F', 'S19V', 'T17F', 'W64O', 'X50X']",6.0,"['E51E', 'K82Q', 'K22E', 'F99J', 'R72H', 'T37S']",0.0,[]
61.0,6.0,"['P74L', 'P17F', 'S19V', 'T17F', 'W64O', 'X50X']",8.0,"['R63H', 'L45J', 'W4N', 'G91D', 'A9K', 'I75U', 'I76X', 'H46T']",3.0,"['P74L', 'P17F', 'S19V']",3.0,"['T17F', 'W64O', 'X50X']"
62.0,8.0,"['R63H', 'L45J', 'W4N', 'G91D', 'A9K', 'I75U', 'I76X', 'H46T']",7.0,"['P28S', 'B51U', 'G78X', 'I36T', 'C93E', 'H76N', 'H93W']",3.0,"['R63H', 'L45J', 'W4N']",5.0,"['G91D', 'A9K', 'I75U', 'I76X', 'H46T']"
63.0,7.0,"['P28S', 'B51U', 'G78X', 'I36T', 'C93E', 'H76N', 'H93W']",9.0,"['D72U', 'B21L', 'U42W', 'X24Q', 'E68Z', 'Q49T', 'W70P', 'U92V', 'W4R']",5.0,"['P28S', 'B51U', 'G78X', 'I36T', 'C93E']",2.0,"['H76N', 'H93W']"
64.0,9.0,"['D72U', 'B21L', 'U42W', 'X24Q', 'E68Z', 'Q49T', 'W70P', 'U92V', 'W4R']",8.0,"['D28M', 'N92N', 'A54N', 'M11V', 'O20H', 'H5X', 'Z15E', 'G8N']",6.0,"['D72U', 'B21L', 'U42W', 'X24Q', 'E68Z', 'Q49T']",3.0,"['W70P', 'U92V', 'W4R']"
65.0,8.0,"['D28M', 'N92N', 'A54N', 'M11V', 'O20H', 'H5X', 'Z15E', 'G8N']",7.0,"['C64D', 'A34D', 'Q73X', 'K55Y', 'S10L', 'R80S', 'H32N']",3.0,"['D28M', 'N92N', 'A54N']",5.0,"['M11V', 'O20H', 'H5X', 'Z15E', 'G8N']"
66.0,7.0,"['C64D', 'A34D', 'Q73X', 'K55Y', 'S10L', 'R80S', 'H32N']",6.0,"['T39D', 'T78O', 'F85X', 'T36F', 'Q8E', 'H16A']",4.0,"['C64D', 'A34D', 'Q73X', 'K55Y']",3.0,"['S10L', 'R80S', 'H32N']"
67.0,6.0,"['T39D', 'T78O', 'F85X', 'T36F', 'Q8E', 'H16A']",7.0,"['W94D', 'Y79K', 'Y70G', 'H27P', 'B27P', 'T77N', 'Z15Q']",5.0,"['T39D', 'T78O', 'F85X', 'T36F', 'Q8E']",1.0,['H16A']
68.0,7.0,"['W94D', 'Y79K', 'Y70G', 'H27P', 'B27P', 'T77N', 'Z15Q']",7.0,"['D30M', 'D25Y', 'L93E', 'U96P', 'T83B', 'O91Q', 'M79S']",3.0,"['W94D', 'Y79K', 'Y70G']",4.0,"['H27P', 'B27P', 'T77N', 'Z15Q']"
69.0,7.0,"['D30M', 'D25Y', 'L93E', 'U96P', 'T83B', 'O91Q', 'M79S']",5.0,"['K44C', 'U95S', 'X59L', 'E32I', 'Q15N']",5.0,"['D30M', 'D25Y', 'L93E', 'U96P', 'T83B']",2.0,"['O91Q', 'M79S']"
70.0,5.0,"['K44C', 'U95S', 'X59L', 'E32I', 'Q15N']",7.0,"['C51N', 'Z14Q', 'O21U', 'C12Z', 'X86N', 'M18E', 'V20M']",4.0,"['K44C', 'U95S', 'X59L', 'E32I']",1.0,['Q15N']
71.0,7.0,"['C51N', 'Z14Q', 'O21U', 'C12Z', 'X86N', 'M18E', 'V20M']",6.0,"['L88N', 'X80P', 'S72U', 'M64Y', 'G2U', 'T77D']",5.0,"['C51N', 'Z14Q', 'O21U', 'C12Z', 'X86N']",2.0,"['M18E', 'V20M']"
72.0,6.0,"['L88N', 'X80P', 'S72U', 'M64Y', 'G2U', 'T77D']",8.0,"['Z12K', 'T67Y', 'N6N', 'B63F', 'F33H', 'X36B', 'T85G', 'K66T']",3.0,"['L88N', 'X80P', 'S72U']",3.0,"['M64Y', 'G2U', 'T77D']"
73.0,8.0,"['Z12K', 'T67Y', 'N6N', 'B63F', 'F33H', 'X36B', 'T85G', 'K66T']",6.0,"['W55D', 'D66X', 'M16D', 'J55H', 'T26Z', 'I66D']",6.0,"['Z12K', 'T67Y', 'N6N', 'B63F', 'F33H', 'X36B']",2.0,"['T85G', 'K66T']"
74.0,6.0,"['W55D', 'D66X', 'M16D', 'J55H', 'T26Z', 'I66D']",7.0,"['D47O', 'L86G', 'Y59D', 'E2H', 'B74R', 'C31C', 'L81I']",6.0,"['W55D', 'D66X', 'M16D', 'J55H', 'T26Z', 'I66D']",0.0,[]
75.0,7.0,"['D47O', 'L86G', 'Y59D', 'E2H', 'B74R', 'C31C', 'L81I']",6.0,"['M70Z', 'T87B', 'S74O', 'U89F', 'E91O', 'V39G']",3.0,"['D47O', 'L86G', 'Y59D']",4.0,"['E2H', 'B74R', 'C31C', 'L81I']"
76.0,6.0,"['M70Z', 'T87B', 'S74O', 'U89F', 'E91O', 'V39G']",9.0,"['J94Q', 'U93W', 'W85Q', 'E85B', 'F51C', 'C42Y', 'U9O', 'F44C', 'Y1V']",5.0,"['M70Z', 'T87B', 'S74O', 'U89F', 'E91O']",1.0,['V39G']
77.0,9.0,"['J94Q', 'U93W', 'W85Q', 'E85B', 'F51C', 'C42Y', 'U9O', 'F44C', 'Y1V']",9.0,"['V87E', 'H73M', 'I87L', 'Q73D', 'G11P', 'E36D', 'P39L', 'B79Q', 'D3C']",5.0,"['J94Q', 'U93W', 'W85Q', 'E85B', 'F51C']",4.0,"['C42Y', 'U9O', 'F44C', 'Y1V']"
78.0,9.0,"['V87E', 'H73M', 'I87L', 'Q73D', 'G11P', 'E36D', 'P39L', 'B79Q', 'D3C']",8.0,"['X40F', 'L14D', 'Q80R', 'N33T', 'P86U', 'P85H', 'A17E', 'V22Z']",4.0,"['V87E', 'H73M', 'I87L', 'Q73D']",5.0,"['G11P', 'E36D', 'P39L', 'B79Q', 'D3C']"
79.0,8.0,"['X40F', 'L14D', 'Q80R', 'N33T', 'P86U', 'P85H', 'A17E', 'V22Z']",9.0,"['B94M', 'S20W', 'S69B', 'Q74E', 'T56B', 'F20O', 'S63P', 'S83I', 'M29X']",3.0,"['X40F', 'L14D', 'Q80R']",5.0,"['N33T', 'P86U', 'P85H', 'A17E', 'V22Z']"
80.0,9.0,"['B94M', 'S20W', 'S69B', 'Q74E', 'T56B', 'F20O', 'S63P', 'S83I', 'M29X']",7.0,"['V81Z', 'T41C', 'B50U', 'M8P', 'E51O', 'H100Y', 'W95C']",5.0,"['B94M', 'S20W', 'S69B', 'Q74E', 'T56B']",4.0,"['F20O', 'S63P', 'S83I', 'M29X']"
81.0,7.0,"['V81Z', 'T41C', 'B50U', 'M8P', 'E51O', 'H100Y', 'W95C']",9.0,"['V39B', 'S42I', 'V73Q', 'M70X', 'J8I', 'V7E', 'U24O', 'H38B', 'B2F']",6.0,"['V81Z', 'T41C', 'B50U', 'M8P', 'E51O', 'H100Y']",1.0,['W95C']
82.0,9.0,"['V39B', 'S42I', 'V73Q', 'M70X', 'J8I', 'V7E', 'U24O', 'H38B', 'B2F']",6.0,"['Y72R', 'X48F', 'N30O', 'V48U', 'V19F', 'Y19D']",5.0,"['V39B', 'S42I', 'V73Q', 'M70X', 'J8I']",4.0,"['V7E', 'U24O', 'H38B', 'B2F']"
83.0,6.0,"['Y72R', 'X48F', 'N30O', 'V48U', 'V19F', 'Y19D']",6.0,"['L51Q', 'C55C', 'J51H', 'O3G', 'N10E', 'C35T']",5.0,"['Y72R', 'X48F', 'N30O', 'V48U', 'V19F']",1.0,['Y19D']
84.0,6.0,"['L51Q', 'C55C', 'J51H', 'O3G', 'N10E', 'C35T']",6.0,"['S3S', 'O8H', 'S67O', 'I85T', 'J78K', 'A78W']",4.0,"['L51Q', 'C55C', 'J51H', 'O3G']",2.0,"['N10E', 'C35T']"
85.0,6.0,"['S3S', 'O8H', 'S67O', 'I85T', 'J78K', 'A78W']",8.0,"['V20I', 'D4V', 'T30H', 'C21N', 'Q86Q', 'K30J', 'H55U', 'F21S']",5.0,"['S3S', 'O8H', 'S67O', 'I85T', 'J78K']",1.0,['A78W']
86.0,8.0,"['V20I', 'D4V', 'T30H', 'C21N', 'Q86Q', 'K30J', 'H55U', 'F21S']",6.0,"['W96K', 'I32Q', 'M68A', 'X76T', 'G45B', 'W28F']",3.0,"['V20I', 'D4V', 'T30H']",5.0,"['C21N', 'Q86Q', 'K30J', 'H55U', 'F21S']"
87.0,6.0,"['W96K', 'I32Q', 'M68A', 'X76T', 'G45B', 'W28F']",8.0,"['B59V', 'L52F', 'L47G', 'R58U', 'M40J', 'B8L', 'Q75M', 'D83M']",4.0,"['W96K', 'I32Q', 'M68A', 'X76T']",2.0,"['G45B', 'W28F']"
88.0,8.0,"['B59V', 'L52F', 'L47G', 'R58U', 'M40J', 'B8L', 'Q75M', 'D83M']",6.0,"['A45Y', 'T98V', 'R66I', 'C100G', 'M69Y', 'B95J']",5.0,"['B59V', 'L52F', 'L47G', 'R58U', 'M40J']",3.0,"['B8L', 'Q75M', 'D83M']"
89.0,6.0,"['A45Y', 'T98V', 'R66I', 'C100G', 'M69Y', 'B95J']",9.0,"['V63T', 'P75B', 'B12Y', 'H66V', 'J11Y', 'V47X', 'G61H', 'Q29Y', 'V15A']",3.0,"['A45Y', 'T98V', 'R66I']",3.0,"['C100G', 'M69Y', 'B95J']"
90.0,9.0,"['V63T', 'P75B', 'B12Y', 'H66V', 'J11Y', 'V47X', 'G61H', 'Q29Y', 'V15A']",7.0,"['N36L', 'W89B', 'H57U', 'P54F', 'M81A', 'A100I', 'C27L']",6.0,"['V63T', 'P75B', 'B12Y', 'H66V', 'J11Y', 'V47X']",3.0,"['G61H', 'Q29Y', 'V15A']"
