Semana,Longitud cola,Cola,Arribos,Autos,Atenciones,Atendidos,Despachos,Despachados
1.0,0.0,[],6.0,"['W20T', 'W59X', 'F40P', 'X80A', 'M43P', 'V46W']",3.0,"['W20T', 'W59X', 'F40P']",0.0,[]
2.0,3.0,"['X80A', 'M43P', 'V46W']",7.0,"['C9A', 'X21P', 'P80Q', 'Q23R', 'G21X', 'O90I', 'A76O']",6.0,"['X80A', 'M43P', 'V46W', 'C9A', 'X21P', 'P80Q']",0.0,[]
3.0,4.0,"['Q23R', 'G21X', 'O90I', 'A76O']",5.0,"['V91W', 'X48M', 'Z53I', 'B2W', 'F3P']",3.0,"['Q23R', 'G21X', 'O90I']",1.0,['A76O']
4.0,5.0,"['V91W', 'X48M', 'Z53I', 'B2W', 'F3P']",9.0,"['A96V', 'U82C', 'B63F', 'M75A', 'Z58O', 'G80F', 'W10A', 'V9U', 'E60Z']",4.0,"['V91W', 'X48M', 'Z53I', 'B2W']",1.0,['F3P']
5.0,9.0,"['A96V', 'U82C', 'B63F', 'M75A', 'Z58O', 'G80F', 'W10A', 'V9U', 'E60Z']",6.0,"['X85D', 'S32H', 'C1V', 'Y5I', 'C92O', 'N8E']",6.0,"['A96V', 'U82C', 'B63F', 'M75A', 'Z58O', 'G80F']",3.0,"['W10A', 'V9U', 'E60Z']"
6.0,6.0,"['X85D', 'S32H', 'C1V', 'Y5I', 'C92O', 'N8E']",9.0,"['A8T', 'Q22G', 'V68Z', 'E75D', 'F7G', 'V8O', 'Q1S', 'C96E', 'E31T']",5.0,"['X85D', 'S32H', 'C1V', 'Y5I', 'C92O']",1.0,['N8E']
7.0,9.0,"['A8T', 'Q22G', 'V68Z', 'E75D', 'F7G', 'V8O', 'Q1S', 'C96E', 'E31T']",8.0,"['J71H', 'E30X', 'C95W', 'D42K', 'I99L', 'I93Z', 'C38G', 'G43R']",4.0,"['A8T', 'Q22G', 'V68Z', 'E75D']",5.0,"['F7G', 'V8O', 'Q1S', 'C96E', 'E31T']"
8.0,8.0,"['J71H', 'E30X', 'C95W', 'D42K', 'I99L', 'I93Z', 'C38G', 'G43R']",7.0,"['J84J', 'N63F', 'W55M', 'H89J', 'P66V', 'M3F', 'O78U']",5.0,"['J71H', 'E30X', 'C95W', 'D42K', 'I99L']",3.0,"['I93Z', 'C38G', 'G43R']"
9.0,7.0,"['J84J', 'N63F', 'W55M', 'H89J', 'P66V', 'M3F', 'O78U']",7.0,"['Z38G', 'Z89Z', 'U66K', 'C57A', 'T16H', 'R33H', 'W2V']",5.0,"['J84J', 'N63F', 'W55M', 'H89J', 'P66V']",2.0,"['M3F', 'O78U']"
10.0,7.0,"['Z38G', 'Z89Z', 'U66K', 'C57A', 'T16H', 'R33H', 'W2V']",7.0,"['A95T', 'Y84Z', 'N53O', 'G34I', 'M54C', 'U12B', 'E39N']",5.0,"['Z38G', 'Z89Z', 'U66K', 'C57A', 'T16H']",2.0,"['R33H', 'W2V']"
